21 Sep 2016 20:48:56 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;songs
21 Sep 2016 20:48:57 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:49:00 : The Wild Weeaboos, general, enragednuke#2565, ded bot
21 Sep 2016 20:49:00 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
21 Sep 2016 20:49:02 : The Wild Weeaboos, general, Wertfuzzy77#0274, wut
21 Sep 2016 20:49:08 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;songs
21 Sep 2016 20:49:08 : The Wild Weeaboos, general, Botfuzzy77#2209, Queue is Empty
21 Sep 2016 20:49:11 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;playlist Kimi
21 Sep 2016 20:49:14 : The Wild Weeaboos, general, Wertfuzzy77#0274, work
21 Sep 2016 20:49:16 : The Wild Weeaboos, general, Wertfuzzy77#0274, do it
21 Sep 2016 20:49:16 : The Wild Weeaboos, general, Botfuzzy77#2209, Finished Adding songs from playlist(s)
21 Sep 2016 20:49:17 : The Wild Weeaboos, general, Wertfuzzy77#0274, we did it
21 Sep 2016 20:49:22 : The Wild Weeaboos, general, enragednuke#2565, now joe speak
21 Sep 2016 20:49:24 : The Wild Weeaboos, general, enragednuke#2565, or nik
21 Sep 2016 20:49:25 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:49:38 : The Wild Weeaboos, general, enragednuke#2565, hello nik
21 Sep 2016 20:49:42 : The Wild Weeaboos, general, enragednuke#2565, now joe
21 Sep 2016 20:49:44 : The Wild Weeaboos, general, Tally#2764, wait
21 Sep 2016 20:49:47 : The Wild Weeaboos, general, Tally#2764, i hear you guys
21 Sep 2016 20:49:54 : The Wild Weeaboos, general, Tally#2764, but mines not working
21 Sep 2016 20:49:54 : The Wild Weeaboos, general, enragednuke#2565, we're on the brazil server
21 Sep 2016 20:49:57 : The Wild Weeaboos, general, enragednuke#2565, LOL
21 Sep 2016 20:49:59 : LimitlessMc, botchat, guenstig werben#3669, @Ankorzz ;luck is obviously just random, I would Suggest something better like !luck, which is fixed per day ;)
21 Sep 2016 20:50:01 : LimitlessMc, botchat, guenstig werben#3669, !luck
21 Sep 2016 20:50:02 : The Wild Weeaboos, general, enragednuke#2565, i was trying to fix the voice
21 Sep 2016 20:50:02 : LimitlessMc, botchat, Gerald#7099, My calculations say that guenstig werben will have 10.7693716720747510% luck today
21 Sep 2016 20:50:07 : LimitlessMc, botchat, guenstig werben#3669, !luck  @Ankorzz
21 Sep 2016 20:50:07 : LimitlessMc, botchat, Gerald#7099, I don't know that user. Please use a clean @Mention
21 Sep 2016 20:50:08 : The Wild Weeaboos, general, Tally#2764, mine still no work
21 Sep 2016 20:50:18 : The Wild Weeaboos, general, Tally#2764, rip
21 Sep 2016 20:50:23 : The Wild Weeaboos, general, enragednuke#2565, back to us west
21 Sep 2016 20:50:57 : LimitlessMc, botchat, guenstig werben#3669, !luck @Ankorzz
21 Sep 2016 20:50:57 : LimitlessMc, botchat, Gerald#7099, My calculations say that undefined will have 19.2485555310914670% luck today
21 Sep 2016 20:50:57 : The Wild Weeaboos, general, enragednuke#2565, LOL
21 Sep 2016 20:50:58 : The Wild Weeaboos, general, enragednuke#2565, dont
21 Sep 2016 20:50:58 : The Wild Weeaboos, general, enragednuke#2565, even
21 Sep 2016 20:50:58 : LimitlessMc, botchat, guenstig werben#3669, :O
21 Sep 2016 20:50:58 : The Wild Weeaboos, general, enragednuke#2565, sa yit
21 Sep 2016 20:50:58 : The Wild Weeaboos, general, enragednuke#2565, i dont
21 Sep 2016 20:50:58 : The Wild Weeaboos, general, enragednuke#2565, but i dont want to know
21 Sep 2016 20:50:58 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:50:59 : LimitlessMc, botchat, Ankorzz#4034, !luck
21 Sep 2016 20:50:59 : LimitlessMc, botchat, Gerald#7099, My calculations say that undefined will have 88.6975302421476100% luck today
21 Sep 2016 20:50:59 : The Wild Weeaboos, general, enragednuke#2565, other than a mic button
21 Sep 2016 20:50:59 : The Wild Weeaboos, general, enragednuke#2565, oh
21 Sep 2016 20:50:59 : The Wild Weeaboos, general, enragednuke#2565, push to talk
