24 Sep 2016 01:38:35 : Cipher, general, Alpha is in School#3869, NO SCRUB @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
24 Sep 2016 01:38:37 : LimitlessMc, botchat, Allianths#4161, hello
24 Sep 2016 01:38:37 : LimitlessMc, botchat, Botfuzzy77#2209, *From The Other Side*
24 Sep 2016 01:38:37 : Cipher, general, Es Fusel#0498, LOL
24 Sep 2016 01:38:39 : Cipher, general, Es Fusel#0498, NOOO
24 Sep 2016 01:38:41 : Cipher, general, Es Fusel#0498, NOOOOOOOOOOOOO
24 Sep 2016 01:38:45 : Cipher, general, Es Fusel#0498, NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
24 Sep 2016 01:38:45 : Cipher, bot_land, Allianths#4161, fuck me
24 Sep 2016 01:38:50 : Cipher, general, Allianths#4161, @@@@@@@@
24 Sep 2016 01:38:56 : Cipher, general, Allianths#4161, Oi I cant hear
24 Sep 2016 01:39:00 : Cipher, general, Allianths#4161, HEP
24 Sep 2016 01:39:04 : Cipher, general, Es Fusel#0498, ./tts
24 Sep 2016 01:39:07 : Cipher, general, Alpha is in School#3869, rolfacopter goes suchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtchtcht
24 Sep 2016 01:39:08 : Cipher, general, Allianths#4161, Siri stopped talking to me huhu
24 Sep 2016 01:39:16 : Cipher, general, Alpha is in School#3869, fuckin ey m8
24 Sep 2016 01:39:24 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;oin
24 Sep 2016 01:39:25 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
24 Sep 2016 01:39:28 : Cipher, general, Alpha is in School#3869, i want the siri voice tho
24 Sep 2016 01:39:36 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=X2kGaP7N2VA
24 Sep 2016 01:39:52 : Cipher, general, Alpha is in School#3869, my pc is a Mank
24 Sep 2016 01:39:52 : Cipher, general, Allianths#4161, its indian?
24 Sep 2016 01:40:16 : Cipher, general, Es Fusel#0498, alphawhore
24 Sep 2016 01:40:17 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;loop 10
24 Sep 2016 01:40:21 : Cipher, general, Es Fusel#0498, go to user settings
24 Sep 2016 01:40:24 : Cipher, general, Es Fusel#0498, text and images
24 Sep 2016 01:40:35 : Cipher, general, Es Fusel#0498, and its the text to speech at the bottom
24 Sep 2016 01:41:11 : Cipher, general, Allianths#4161, hi
24 Sep 2016 01:41:15 : Cipher, general, Es Fusel#0498, yo get it?
24 Sep 2016 01:42:18 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
24 Sep 2016 01:43:33 : Cipher, general, Alpha is in School#3869, cant change voice tho
24 Sep 2016 01:43:45 : Cipher, general, Alpha is in School#3869, ali were not in google docs
24 Sep 2016 01:43:56 : Cipher, general, Alpha is in School#3869, google ducks
24 Sep 2016 01:44:29 : Cipher, general, Allianths#4161, google bibe
24 Sep 2016 01:44:36 : Penguins, leshemale, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
24 Sep 2016 01:44:41 : Penguins, leshemale, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
24 Sep 2016 01:44:52 : Penguins, leshemale, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
24 Sep 2016 01:45:04 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
24 Sep 2016 01:45:04 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
24 Sep 2016 01:46:30 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;songs
24 Sep 2016 01:46:30 : The Wild Weeaboos, general, Botfuzzy77#2209, **The Following songs are in the Queue**
24 Sep 2016 01:47:05 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
24 Sep 2016 01:47:05 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
24 Sep 2016 01:47:37 : Cipher, general, Botfuzzy77#2209, **Allianths**(Officer) is now Offline!
24 Sep 2016 01:49:13 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
24 Sep 2016 01:49:13 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
24 Sep 2016 01:49:35 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
24 Sep 2016 01:49:35 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
24 Sep 2016 01:49:54 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Offline!
24 Sep 2016 01:51:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Offline!
24 Sep 2016 01:51:35 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Offline!
24 Sep 2016 01:51:35 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
24 Sep 2016 01:51:44 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
24 Sep 2016 01:51:44 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
24 Sep 2016 01:51:49 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
24 Sep 2016 01:51:49 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
24 Sep 2016 01:52:58 : Penguins, leshemale, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
24 Sep 2016 01:55:11 : Cipher, general, Alpha is in School#3869, no1 question on the srbr: when did you get mod
24 Sep 2016 01:56:54 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
24 Sep 2016 01:56:54 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
24 Sep 2016 01:57:51 : Penguins, leshemale, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
24 Sep 2016 01:58:35 : Penguins, leshemale, Botfuzzy77#2209, **Imposter Snake**(Suicune) is now Online!
24 Sep 2016 01:59:07 : Team Harmony, general, Botfuzzy77#2209, **Skyd**(Team Harmony) is now Online!
24 Sep 2016 01:59:07 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
24 Sep 2016 01:59:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
24 Sep 2016 01:59:29 : Team Harmony, general, Skyd#9935, Sorry man sick so I haven't been on
24 Sep 2016 02:01:11 : Team Harmony, general, Botfuzzy77#2209, **Skyd**(Team Harmony) is now Offline!
24 Sep 2016 02:01:11 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
24 Sep 2016 02:03:06 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
24 Sep 2016 02:03:06 : Team Harmony, general, Botfuzzy77#2209, **Techni**(Team Harmony) is now Online!
24 Sep 2016 02:03:59 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Online!
24 Sep 2016 02:17:09 : Penguins, leshemale, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
24 Sep 2016 02:17:12 : Penguins, leshemale, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
24 Sep 2016 02:18:08 : Penguins, leshemale, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
