28 Sep 2016 15:25:03 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
28 Sep 2016 15:25:15 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist MJackson MJackson MJackson MJackson MJackson MJackson MJackson
28 Sep 2016 15:25:31 : The Wild Weebs, music, enragednuke#2565, gfy
28 Sep 2016 15:25:31 : The Wild Weebs, music, enragednuke#2565, :GFY:
28 Sep 2016 15:25:31 : The Wild Weebs, music, enragednuke#2565, .
28 Sep 2016 15:25:36 : The Wild Weebs, music, enragednuke#2565, <:KYS:230435994447380480>
28 Sep 2016 15:25:36 : The Wild Weebs, music, Wertfuzzy77#0274, gj
28 Sep 2016 15:26:01 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
28 Sep 2016 15:26:39 : The Wild Weebs, music, enragednuke#2565, LUL
28 Sep 2016 15:29:22 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
28 Sep 2016 15:31:22 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
28 Sep 2016 15:32:42 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(SchutzStaffel) is now Online!
28 Sep 2016 15:34:01 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
28 Sep 2016 15:36:01 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
28 Sep 2016 15:36:23 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Gilles**(Nazi) is now Offline!
28 Sep 2016 15:36:32 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
28 Sep 2016 15:39:59 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jacksparrow**(No Role) is now Online!
28 Sep 2016 15:44:07 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **warnier**(No Role) is now Offline!
28 Sep 2016 15:46:14 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Offline!
28 Sep 2016 15:49:09 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 15:49:09 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 15:53:34 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Online!
28 Sep 2016 15:55:49 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jacksparrow**(No Role) is now Online!
28 Sep 2016 15:57:41 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Gilles**(Nazi) is now Online!
28 Sep 2016 16:00:25 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Online!
28 Sep 2016 16:12:43 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **druif**(Nazi) is now Online!
28 Sep 2016 16:13:55 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Default**(SchutzStaffel) is now Online!
28 Sep 2016 16:22:31 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 16:22:31 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 16:35:16 : GetPlebd, weeaboo-chat, Default#9353, https://cdn.discordapp.com/attachments/176752925924655105/230050278177505281/unknown.png
28 Sep 2016 16:42:19 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Offline!
28 Sep 2016 16:44:45 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jacksparrow**(No Role) is now Online!
28 Sep 2016 16:47:03 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Offline!
28 Sep 2016 16:48:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 16:51:17 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 16:54:03 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(SchutzStaffel) is now Online!
28 Sep 2016 16:54:34 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 16:56:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 16:58:00 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 16:58:00 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 16:58:24 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist MJackson MJackson MJackson MJackson MJackson MJackson MJackson
28 Sep 2016 16:58:48 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
28 Sep 2016 16:58:52 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
28 Sep 2016 17:04:33 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(SchutzStaffel) is now Online!
28 Sep 2016 17:05:33 : The Wild Weebs, music, enragednuke#2565, ;loop 5
28 Sep 2016 17:05:37 : The Wild Weebs, music, Botfuzzy77#2209, Added '*Michael Jackson - The Way You Make Me Feel (lyrics)*' **5** more times
28 Sep 2016 17:14:18 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 17:16:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Online!
28 Sep 2016 17:19:45 : GetPlebd, weeaboo-chat, Bloodyskills#9784, https://www.youtube.com/watch?v=Tbwx9mv9q34
