02 Oct 2016 22:04:06 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
02 Oct 2016 22:04:19 : The Wild Weebs, music, Wertfuzzy77#0274, ;viewplaylist AnimeOpenings
02 Oct 2016 22:06:58 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist AnimeOpenings
02 Oct 2016 22:07:15 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
02 Oct 2016 22:12:53 : LimitlessMc, mainchat, Rellice24#9588, how long does it take it to hatch a egg
02 Oct 2016 22:15:24 : The Wild Weebs, music, Wertfuzzy77#0274, ;reload
02 Oct 2016 22:15:24 : The Wild Weebs, music, Botfuzzy77#2209, Reloaded all Modules
02 Oct 2016 22:15:27 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
02 Oct 2016 22:15:31 : The Wild Weebs, music, Wertfuzzy77#0274, ;leave
02 Oct 2016 22:15:32 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
02 Oct 2016 22:15:39 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
02 Oct 2016 22:15:39 : LimitlessMc, mainchat, Resolate#7058, Walking takes waaaaayy longer
02 Oct 2016 22:15:43 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist AnimeOpenings
02 Oct 2016 22:15:43 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
02 Oct 2016 22:15:47 : The Wild Weebs, music, Wertfuzzy77#0274, ;relog
02 Oct 2016 22:15:47 : The Wild Weebs, music, Botfuzzy77#2209, Relogging...
