03 Oct 2016 00:15:21 : LimitlessMc, mainchat, MelvZz#6815, pffft you cant even see your face @Lightning
03 Oct 2016 00:18:17 : LimitlessMc, mainchat, Lightning#6734, pff
03 Oct 2016 00:18:40 : LimitlessMc, mainchat, Lightning#6734, i fix that
03 Oct 2016 00:20:47 : LimitlessMc, mainchat, emilythequeen#6673, yeah really @Lightning
03 Oct 2016 00:21:06 : LimitlessMc, mainchat, Lightning#6734, i said i fix sheesh children sheesh
03 Oct 2016 00:21:06 : LimitlessMc, mainchat, MelvZz#6815, I win
03 Oct 2016 00:22:06 : LimitlessMc, mainchat, Lightning#6734, @MelvZz nah
03 Oct 2016 00:23:40 : LimitlessMc, mainchat, MelvZz#6815, @Lightning  ya, it's because you're from manchester
03 Oct 2016 00:23:46 : LimitlessMc, mainchat, Lightning#6734, stfu lol
03 Oct 2016 00:24:04 : LimitlessMc, mainchat, Lightning#6734, liverpool wanker >_>
03 Oct 2016 00:33:26 : LimitlessMc, mainchat, Lightning#6734, thats worse lmao
03 Oct 2016 01:13:54 : LimitlessMc, mainchat, D3NSH1N#8702, @Lightning hi
03 Oct 2016 01:45:11 : LimitlessMc, mainchat, Lightning#6734, someones filled the spawn with chickens oh boy
03 Oct 2016 01:52:11 : LimitlessMc, mainchat, Rellice24#9588, the lag
03 Oct 2016 01:52:34 : LimitlessMc, mainchat, Rellice24#9588, rip my minecraft
03 Oct 2016 01:56:08 : LimitlessMc, mainchat, Legend#1091, wailords and chickens everywhere
03 Oct 2016 01:57:47 : LimitlessMc, mainchat, Pugs#3166, that was fun tbh
03 Oct 2016 01:58:00 : LimitlessMc, mainchat, Harambe#3735, ik i need more eggs (; le
03 Oct 2016 03:33:58 : LimitlessMc, mainchat, Harambe#3735, @Jay113355 when you get on tpa to me
03 Oct 2016 03:55:13 : LimitlessMc, mainchat, Harambe#3735, nvm
03 Oct 2016 03:55:21 : LimitlessMc, mainchat, Harambe#3735, the world event is missing bb
03 Oct 2016 03:55:27 : LimitlessMc, mainchat, Harambe#3735, ''guy''
03 Oct 2016 04:27:24 : The Wild Weebs, weeb, enragednuke#2565, @Tally hoA
03 Oct 2016 04:27:38 : The Wild Weebs, weeb, enragednuke#2565, ^ nik
03 Oct 2016 04:28:10 : The Wild Weebs, weeb, Wertfuzzy77#0274, He locked me out ;-;
03 Oct 2016 10:04:31 : LimitlessMc, mainchat, NorthOfTime#1507, Wtf
03 Oct 2016 10:04:45 : LimitlessMc, mainchat, NorthOfTime#1507, @Crimson239
03 Oct 2016 10:04:52 : LimitlessMc, mainchat, NorthOfTime#1507, Dude. Im a god.
03 Oct 2016 10:05:06 : LimitlessMc, mainchat, NorthOfTime#1507, I hit the switch above the cauldron and the server closed.
03 Oct 2016 11:02:52 : LimitlessMc, mainchat, NorthOfTime#1507, @Staff if someone could let stubby know that the boss tower he put signs on at the top is actually mine, and if he check th sign at the bottom of the tower in front of the door hell see it was there before his...
03 Oct 2016 11:57:21 : LimitlessMc, mainchat, Lightning#6734, ^reading
03 Oct 2016 12:03:24 : LimitlessMc, mainchat, Lightning#6734, @NorthOfTime i'll let him know
03 Oct 2016 12:21:14 : Penguins 2, general, xAlain_(Charizard)#0865, Huehuehue
03 Oct 2016 12:21:30 : Penguins 2, general, xAlain_(Charizard)#0865, Palkia ask them for birthday
03 Oct 2016 12:23:50 : LimitlessMc, mainchat, xAlain_(Charizard)#0865, @Lightning want me to spawn chicken?
03 Oct 2016 12:24:43 : Penguins 2, general, xAlain_(Charizard)#0865, Mom
03 Oct 2016 13:13:09 : Penguins 2, general, SurvivraInHellAKASchool#7191, Lelele @xAlain_(Charizard)
03 Oct 2016 13:46:59 : LimitlessMc, mainchat, Gilles#3169, computer class, not gonna do f*cking anything
