03 Oct 2016 18:30:38 : The Wild Weebs, weeb, enragednuke#2565, @Tally
03 Oct 2016 18:30:42 : The Wild Weebs, weeb, enragednuke#2565, @Tally @Tally @Tally v
03 Oct 2016 18:30:42 : The Wild Weebs, weeb, enragednuke#2565, @Tally
03 Oct 2016 18:30:43 : The Wild Weebs, weeb, enragednuke#2565, @Tally @Tally @Tally
03 Oct 2016 18:30:44 : The Wild Weebs, weeb, enragednuke#2565, @Tally
03 Oct 2016 18:30:44 : The Wild Weebs, weeb, enragednuke#2565, @Tally
03 Oct 2016 18:30:51 : The Wild Weebs, weeb, Tally#2764, yes
03 Oct 2016 18:30:52 : The Wild Weebs, weeb, enragednuke#2565, BOOP BOOP BOOP BOOP
03 Oct 2016 18:30:59 : The Wild Weebs, weeb, enragednuke#2565, did chris sign up for hackumass?
03 Oct 2016 18:31:04 : The Wild Weebs, weeb, enragednuke#2565, and did you get confirmation?
03 Oct 2016 18:31:04 : The Wild Weebs, weeb, Tally#2764, i think
03 Oct 2016 18:31:08 : The Wild Weebs, weeb, Tally#2764, i did
03 Oct 2016 18:31:13 : The Wild Weebs, weeb, Tally#2764, i dont know if chris did
03 Oct 2016 18:31:15 : The Wild Weebs, weeb, Tally#2764, when is that?
03 Oct 2016 18:31:18 : The Wild Weebs, weeb, enragednuke#2565, this weekend
03 Oct 2016 18:31:19 : The Wild Weebs, weeb, enragednuke#2565, lol
03 Oct 2016 18:31:21 : The Wild Weebs, weeb, Tally#2764, well fuck
03 Oct 2016 18:31:51 : The Wild Weebs, weeb, enragednuke#2565, lol
03 Oct 2016 18:31:54 : The Wild Weebs, weeb, enragednuke#2565, WHAT WE DOIN BOY
03 Oct 2016 18:32:09 : The Wild Weebs, weeb, Tally#2764, dude i have no clue
03 Oct 2016 18:32:20 : The Wild Weebs, weeb, Tally#2764, i have workwork and an exam this friday to worry about first
03 Oct 2016 18:33:05 : The Wild Weebs, weeb, enragednuke#2565, lol
03 Oct 2016 18:33:07 : The Wild Weebs, weeb, enragednuke#2565, glhf
03 Oct 2016 18:33:11 : The Wild Weebs, weeb, enragednuke#2565, > is playing WoW
03 Oct 2016 18:33:12 : The Wild Weebs, weeb, enragednuke#2565, L U L
03 Oct 2016 18:33:20 : The Wild Weebs, weeb, Tally#2764, do you have any clue what we are doing
03 Oct 2016 18:33:27 : The Wild Weebs, weeb, enragednuke#2565, nope we have no idea yet
03 Oct 2016 18:33:38 : The Wild Weebs, weeb, enragednuke#2565, something with a website cause that's my specialty lol
03 Oct 2016 18:33:46 : The Wild Weebs, weeb, Tally#2764, not same
03 Oct 2016 18:33:57 : The Wild Weebs, weeb, enragednuke#2565, nikolai is gonna be doing backend
03 Oct 2016 18:34:02 : The Wild Weebs, weeb, enragednuke#2565, with normal scripts
03 Oct 2016 18:34:05 : The Wild Weebs, weeb, enragednuke#2565, python, etc
03 Oct 2016 18:34:12 : The Wild Weebs, weeb, enragednuke#2565, but not sure for what problem
03 Oct 2016 18:34:27 : The Wild Weebs, weeb, Tally#2764, i mean we dont even know what we want to make
03 Oct 2016 18:34:33 : The Wild Weebs, weeb, enragednuke#2565, right
03 Oct 2016 18:34:38 : The Wild Weebs, weeb, enragednuke#2565, it has to solve a problem
03 Oct 2016 18:37:17 : The Wild Weebs, weeb, Tally#2764, hmmmmmmmmmmmm
03 Oct 2016 18:51:40 : GetPlebd, weeaboo-chat, Harrys#3922, sam
03 Oct 2016 18:51:58 : GetPlebd, weeaboo-chat, Harrys#3922, sorry
03 Oct 2016 18:56:44 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, hoiu
03 Oct 2016 18:56:53 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, k
03 Oct 2016 18:57:13 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, ja
03 Oct 2016 18:57:20 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, helmaal mooi
03 Oct 2016 18:59:42 : LimitlessMc, mainchat, Jay113355#4999, @Harambe This guy is more Harambe then you http://prntscr.com/cpezl9
03 Oct 2016 19:12:47 : GetPlebd, weeaboo-chat, Gilles#3169, .music play when im bored 2 hours
03 Oct 2016 19:12:50 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] @Gilles has added `When I'm Bored - 2 hours` to the queue. (`01:59:51`) [`0`]
03 Oct 2016 19:19:16 : LimitlessMc, mainchat, SurvivraInHellAKASchool#7191, @Lightning  wait until someone steals it lmao
03 Oct 2016 19:19:34 : LimitlessMc, mainchat, Lightning#6734, steals what? o-o
03 Oct 2016 19:20:14 : LimitlessMc, mainchat, Lightning#6734, the shrine is in a claimed area xD :3
03 Oct 2016 19:29:24 : GetPlebd, weeaboo-chat, Harrys#3922, .play music https://www.youtube.com/watch?v=IQbQtQu_uOI
03 Oct 2016 19:29:25 : GetPlebd, weeaboo-chat, Gilles#3169, .music skip
03 Oct 2016 19:29:25 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] The DJ has decided to skip!
03 Oct 2016 19:29:44 : GetPlebd, weeaboo-chat, Gilles#3169, .music play brainpower
03 Oct 2016 19:29:49 : GetPlebd, weeaboo-chat, Harrys#3922, .music play https://www.youtube.com/watch?v=IQbQtQu_uOI
03 Oct 2016 19:29:52 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] @Gilles has added `NOMA - Brain Power` to the queue. (`06:08`) [`0`]
03 Oct 2016 19:29:58 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] @Nigger faggot has added `Shrek Ear Rape` to the queue. (`00:57`) [`0`]
03 Oct 2016 19:30:04 : GetPlebd, weeaboo-chat, Gilles#3169, .music skip
03 Oct 2016 19:30:04 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] The DJ has decided to skip!
03 Oct 2016 19:31:06 : GetPlebd, weeaboo-chat, Gilles#3169, .music play when im bored 2 hour
03 Oct 2016 19:31:09 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] @Gilles has added `When I'm Bored - 2 hours` to the queue. (`01:59:51`) [`0`]
03 Oct 2016 19:47:38 : LimitlessMc, mainchat, Harambe#3735, @Jay113355 because he has a picture of harambe? too soon
03 Oct 2016 19:50:46 : GetPlebd, weeaboo-chat, Harrys#3922, https://www.youtube.com/watch?v=igxN6HmHj_s
03 Oct 2016 19:52:49 : LimitlessMc, mainchat, Jay113355#4999, shrines cant be claimed anymore
03 Oct 2016 19:52:58 : LimitlessMc, mainchat, Jay113355#4999, you can use them though claims
03 Oct 2016 19:55:17 : GetPlebd, weeaboo-chat, Harrys#3922, https://www.youtube.com/watch?v=1CC_DygUJy8
03 Oct 2016 19:58:40 : GetPlebd, weeaboo-chat, Harrys#3922, http://imgur.com/gallery/uGDec
03 Oct 2016 20:00:33 : LimitlessMc, mainchat, Lightning#6734, oh good info o: i passed a static one earlier
03 Oct 2016 20:09:19 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
03 Oct 2016 20:09:22 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist AnimeOpenings AnimeOpenings AnimeOpenings AnimeOpenings
03 Oct 2016 20:10:21 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
03 Oct 2016 20:15:04 : LimitlessMc, mainchat, Pugs#3166, i got banned
03 Oct 2016 20:15:05 : LimitlessMc, mainchat, Pugs#3166, gg
03 Oct 2016 20:15:19 : LimitlessMc, mainchat, Lightning#6734, lel
03 Oct 2016 20:15:29 : LimitlessMc, mainchat, Pugs#3166, look at my
03 Oct 2016 20:15:36 : LimitlessMc, mainchat, Lightning#6734, i saw when it happened
03 Oct 2016 20:15:38 : LimitlessMc, mainchat, Pugs#3166, thing on the fourms
03 Oct 2016 20:15:44 : LimitlessMc, mainchat, Pugs#3166, look at it the appeal
03 Oct 2016 20:15:45 : LimitlessMc, mainchat, Pugs#3166, lol
