08 Oct 2016 02:19:46 : LimitlessMc, mainchat, MoshonT#8152, Sorry if I'm not around too much
08 Oct 2016 02:19:58 : LimitlessMc, mainchat, MoshonT#8152, Got a huge com
08 Oct 2016 02:20:01 : LimitlessMc, mainchat, MoshonT#8152, To anyone who is wondering
08 Oct 2016 02:20:21 : LimitlessMc, mainchat, MoshonT#8152, Also what happened to the server numbers recently?
08 Oct 2016 02:28:05 : LimitlessMc, mainchat, MoshonT#8152, I'm an artist
08 Oct 2016 02:28:31 : The Wild Weebs, coding, Wertfuzzy77#0274, @Tally Nub
08 Oct 2016 02:28:31 : The Wild Weebs, coding, enragednuke#2565, @Tally nub
08 Oct 2016 02:30:28 : The Wild Weebs, music, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=qux6PhqbBBU
08 Oct 2016 02:30:34 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
08 Oct 2016 02:30:38 : The Wild Weebs, music, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=qux6PhqbBBU
08 Oct 2016 02:30:44 : The Wild Weebs, music, Wertfuzzy77#0274, ;relog
08 Oct 2016 02:30:44 : The Wild Weebs, music, Botfuzzy77#2209, Relogging...
