03 Dec 2016 04:14:01 : LimitlessMc, mainchat, Lightning#6734, lel
03 Dec 2016 04:14:02 : LimitlessMc, mainchat, Wertfuzzy77#0274, lol
03 Dec 2016 04:14:03 : LimitlessMc, mainchat, Lightning#6734, damn
03 Dec 2016 04:14:03 : LimitlessMc, mainchat, Third_Worm#4804, I guess
03 Dec 2016 04:14:04 : LimitlessMc, mainchat, AlphaBit#3869, lu
03 Dec 2016 04:14:07 : LimitlessMc, mainchat, AlphaBit#3869, ;kys
03 Dec 2016 04:14:07 : LimitlessMc, mainchat, Botfuzzy77#2209, Im Sorry, That goes against my programming
03 Dec 2016 04:14:07 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:14:11 : LimitlessMc, mainchat, Wertfuzzy77#0274, @Botfuzzy77 are you alive>
03 Dec 2016 04:14:11 : LimitlessMc, mainchat, crystal4209#4698, lol
03 Dec 2016 04:14:11 : LimitlessMc, mainchat, Botfuzzy77#2209, No.
03 Dec 2016 04:14:13 : LimitlessMc, mainchat, Wertfuzzy77#0274, 😄
03 Dec 2016 04:14:17 : LimitlessMc, mainchat, AlphaBit#3869, @Botfuzzy77 kys
03 Dec 2016 04:14:17 : LimitlessMc, mainchat, Botfuzzy77#2209, And that makes you tired?
03 Dec 2016 04:14:20 : LimitlessMc, mainchat, NarcoticMile#6198, !kill
03 Dec 2016 04:14:20 : LimitlessMc, mainchat, Gerald#7099, ​Sorry, you are not permitted to use this feature
03 Dec 2016 04:14:22 : LimitlessMc, mainchat, AlphaBit#3869, yes defo
03 Dec 2016 04:14:22 : LimitlessMc, mainchat, Lightning#6734, lmao
03 Dec 2016 04:14:32 : LimitlessMc, mainchat, NarcoticMile#6198, !killme
03 Dec 2016 04:14:32 : LimitlessMc, mainchat, crystal4209#4698, !kill
03 Dec 2016 04:14:33 : LimitlessMc, mainchat, Gerald#7099, ​Sorry, you are not permitted to use this feature
03 Dec 2016 04:14:33 : LimitlessMc, mainchat, Gerald#7099, ​Sorry, you are not permitted to use this feature
03 Dec 2016 04:14:37 : LimitlessMc, mainchat, Wertfuzzy77#0274, @Botfuzzy77 Who is jay?
03 Dec 2016 04:14:38 : LimitlessMc, mainchat, Botfuzzy77#2209, I don't know, who is he?
03 Dec 2016 04:14:40 : LimitlessMc, mainchat, AlphaBit#3869, ;kms
03 Dec 2016 04:14:40 : LimitlessMc, mainchat, Botfuzzy77#2209, Bet
03 Dec 2016 04:14:48 : LimitlessMc, mainchat, Third_Worm#4804, o-o
03 Dec 2016 04:14:52 : LimitlessMc, mainchat, Wertfuzzy77#0274, hey, its Emelia 😄
03 Dec 2016 04:14:52 : LimitlessMc, mainchat, AlphaBit#3869, ay bot stuff to bot channel okei
03 Dec 2016 04:14:55 : LimitlessMc, mainchat, Third_Worm#4804, Guys pls
03 Dec 2016 04:14:57 : LimitlessMc, mainchat, Wertfuzzy77#0274, #Bestgirl
03 Dec 2016 04:15:01 : LimitlessMc, mainchat, AlphaBit#3869, ew
03 Dec 2016 04:15:02 : LimitlessMc, mainchat, Lightning#6734, @Botfuzzy77 who am i?
03 Dec 2016 04:15:02 : LimitlessMc, mainchat, Botfuzzy77#2209, A computer.
03 Dec 2016 04:15:03 : LimitlessMc, mainchat, AlphaBit#3869, no
03 Dec 2016 04:15:05 : LimitlessMc, mainchat, Lightning#6734, holy shit
03 Dec 2016 04:15:07 : LimitlessMc, mainchat, Third_Worm#4804, Don't kill Gerald
03 Dec 2016 04:15:09 : LimitlessMc, mainchat, AlphaBit#3869, gtfo @Wertfuzzy77
03 Dec 2016 04:15:11 : LimitlessMc, mainchat, NarcoticMile#6198, please
03 Dec 2016 04:15:12 : LimitlessMc, mainchat, Wertfuzzy77#0274, go home
03 Dec 2016 04:15:15 : LimitlessMc, mainchat, Third_Worm#4804, Or botfuzzy
03 Dec 2016 04:15:18 : LimitlessMc, mainchat, AlphaBit#3869, rem best girl
03 Dec 2016 04:15:21 : LimitlessMc, mainchat, Wertfuzzy77#0274, trash Rem weeabo
03 Dec 2016 04:15:24 : LimitlessMc, mainchat, NarcoticMile#6198, Wert is my wif screw you
03 Dec 2016 04:15:28 : LimitlessMc, mainchat, Lightning#6734, lelele
03 Dec 2016 04:15:33 : LimitlessMc, mainchat, Wertfuzzy77#0274, rekt
03 Dec 2016 04:15:35 : LimitlessMc, mainchat, Lightning#6734, rem bes grill
03 Dec 2016 04:15:40 : LimitlessMc, mainchat, AlphaBit#3869, ^^^
03 Dec 2016 04:15:41 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:15:44 : LimitlessMc, mainchat, Wertfuzzy77#0274, kys @Lightning and @AlphaBit
03 Dec 2016 04:15:48 : LimitlessMc, mainchat, Lightning#6734, no ;-;
03 Dec 2016 04:15:53 : LimitlessMc, mainchat, AlphaBit#3869, already did
03 Dec 2016 04:15:55 : LimitlessMc, mainchat, AlphaBit#3869, didnt work
03 Dec 2016 04:15:55 : LimitlessMc, mainchat, Wertfuzzy77#0274, ;image Emelia best girl
03 Dec 2016 04:16:01 : LimitlessMc, mainchat, NarcoticMile#6198, lol
03 Dec 2016 04:16:03 : LimitlessMc, mainchat, Lightning#6734, hah
03 Dec 2016 04:16:05 : LimitlessMc, mainchat, Lightning#6734, get rekt
03 Dec 2016 04:16:06 : LimitlessMc, mainchat, Wertfuzzy77#0274, oh yeah, jay disabled in main chat
03 Dec 2016 04:16:08 : LimitlessMc, mainchat, Third_Worm#4804, ..
03 Dec 2016 04:16:09 : LimitlessMc, mainchat, Wertfuzzy77#0274, rip
03 Dec 2016 04:16:10 : LimitlessMc, mainchat, Third_Worm#4804, So
03 Dec 2016 04:16:14 : LimitlessMc, mainchat, Wertfuzzy77#0274, well, i disabled
03 Dec 2016 04:16:17 : LimitlessMc, mainchat, Wertfuzzy77#0274, but jay asked
03 Dec 2016 04:16:20 : LimitlessMc, botchat, AlphaBit#3869, ;image rem best girl
03 Dec 2016 04:16:24 : LimitlessMc, botchat, AlphaBit#3869, kappa
03 Dec 2016 04:16:24 : LimitlessMc, botchat, Botfuzzy77#2209, http://images-cdn.9gag.com/photo/abZ61Mv_700b.jpg
03 Dec 2016 04:16:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ;image Emelia best girl
03 Dec 2016 04:16:35 : LimitlessMc, botchat, Botfuzzy77#2209, http://i.imgur.com/IVZyWVQ.jpg
03 Dec 2016 04:16:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ^
03 Dec 2016 04:16:39 : LimitlessMc, botchat, Botfuzzy77#2209, ^
03 Dec 2016 04:16:40 : LimitlessMc, botchat, Wertfuzzy77#0274, adorable
03 Dec 2016 04:16:59 : LimitlessMc, mainchat, Lightning#6734, oshit i forgot wert has a note XD
03 Dec 2016 04:17:03 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 who is better? Rem or Emelia?
03 Dec 2016 04:17:03 : LimitlessMc, botchat, Botfuzzy77#2209, You.
03 Dec 2016 04:17:05 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:17:06 : LimitlessMc, botchat, Wertfuzzy77#0274, 😄
03 Dec 2016 04:17:12 : LimitlessMc, botchat, AlphaBit#3869, smooth af
03 Dec 2016 04:17:23 : LimitlessMc, mainchat, Wertfuzzy77#0274, @Botfuzzy77 who is better? Rem or Emelia?
Botfuzzy77BOT - Today at 11:17 PM
You.
03 Dec 2016 04:17:24 : LimitlessMc, mainchat, Botfuzzy77#2209, I don't like either of them.
03 Dec 2016 04:17:26 : LimitlessMc, mainchat, Wertfuzzy77#0274, LOL
03 Dec 2016 04:17:32 : LimitlessMc, mainchat, AlphaBit#3869, Wert best girl
03 Dec 2016 04:17:35 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:17:36 : LimitlessMc, mainchat, Lightning#6734, ^
03 Dec 2016 04:17:36 : LimitlessMc, mainchat, Botfuzzy77#2209, ^
03 Dec 2016 04:17:43 : LimitlessMc, mainchat, Wertfuzzy77#0274, I mean no?
03 Dec 2016 04:17:47 : LimitlessMc, mainchat, Wertfuzzy77#0274, considering im not a girl
03 Dec 2016 04:17:49 : LimitlessMc, mainchat, AlphaBit#3869, XD
03 Dec 2016 04:17:51 : LimitlessMc, mainchat, Wertfuzzy77#0274, but sure, ill accept the title
03 Dec 2016 04:17:51 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:18:00 : LimitlessMc, mainchat, crystal4209#4698, transgender
03 Dec 2016 04:18:03 : LimitlessMc, mainchat, AlphaBit#3869, wert best person
03 Dec 2016 04:18:04 : LimitlessMc, mainchat, AlphaBit#3869, there
03 Dec 2016 04:18:12 : LimitlessMc, mainchat, Wertfuzzy77#0274, sounds dumb, wert best girl
03 Dec 2016 04:18:24 : LimitlessMc, mainchat, Lightning#6734, lele crystal called u a tranny wert XD
03 Dec 2016 04:18:30 : LimitlessMc, mainchat, AlphaBit#3869, xd
03 Dec 2016 04:18:42 : LimitlessMc, mainchat, crystal4209#4698, shush
03 Dec 2016 04:18:45 : LimitlessMc, mainchat, Wertfuzzy77#0274, you weeabo @crystal4209 did you just assume my gender
03 Dec 2016 04:18:46 : LimitlessMc, mainchat, AlphaBit#3869, tilt whooo
03 Dec 2016 04:18:50 : LimitlessMc, mainchat, crystal4209#4698, no
03 Dec 2016 04:18:55 : LimitlessMc, mainchat, AlphaBit#3869, [TRIGGRD]
03 Dec 2016 04:18:57 : LimitlessMc, mainchat, Third_Worm#4804, Well
03 Dec 2016 04:18:59 : LimitlessMc, mainchat, Wertfuzzy77#0274, **TRIGGERED**
03 Dec 2016 04:19:04 : LimitlessMc, mainchat, Third_Worm#4804, Kay then
03 Dec 2016 04:19:06 : LimitlessMc, mainchat, Lightning#6734, (╯°□°）╯︵ ┻━┻
03 Dec 2016 04:19:13 : LimitlessMc, mainchat, crystal4209#4698, dont worry i tend to roast everyone i talk to
03 Dec 2016 04:19:15 : LimitlessMc, mainchat, Wertfuzzy77#0274, ***TRIGGERED***
03 Dec 2016 04:19:16 : LimitlessMc, mainchat, Third_Worm#4804, /unflip
03 Dec 2016 04:19:22 : LimitlessMc, mainchat, Lightning#6734, ┬─┬﻿ ノ( ゜-゜ノ)
03 Dec 2016 04:19:23 : LimitlessMc, mainchat, Third_Worm#4804, Dang it
03 Dec 2016 04:19:27 : LimitlessMc, mainchat, AlphaBit#3869, hep
03 Dec 2016 04:19:28 : LimitlessMc, mainchat, Third_Worm#4804, Thank you
03 Dec 2016 04:19:35 : LimitlessMc, mainchat, Lightning#6734, ;hep
03 Dec 2016 04:19:36 : LimitlessMc, mainchat, Botfuzzy77#2209, Dont Be Lazy, Type ;help
03 Dec 2016 04:19:50 : LimitlessMc, mainchat, NarcoticMile#6198, wert dont listen to them your a good boy
03 Dec 2016 04:19:50 : LimitlessMc, mainchat, AlphaBit#3869, this shit always happens ;-;
03 Dec 2016 04:19:56 : LimitlessMc, mainchat, crystal4209#4698, oh shit
03 Dec 2016 04:20:05 : LimitlessMc, mainchat, Third_Worm#4804, The flip
03 Dec 2016 04:20:09 : LimitlessMc, mainchat, AlphaBit#3869, idk
03 Dec 2016 04:20:17 : LimitlessMc, mainchat, AlphaBit#3869, something about my opengl
03 Dec 2016 04:20:22 : LimitlessMc, mainchat, Wertfuzzy77#0274, I think this is the first time ive heard Jay's voice?
03 Dec 2016 04:20:27 : LimitlessMc, mainchat, AlphaBit#3869, same
03 Dec 2016 04:20:31 : LimitlessMc, mainchat, crystal4209#4698, same
03 Dec 2016 04:20:33 : LimitlessMc, mainchat, Third_Worm#4804, You like it?
03 Dec 2016 04:20:43 : LimitlessMc, mainchat, Wertfuzzy77#0274, been on the server for over 2 years now xD and just now hearing his voice
03 Dec 2016 04:20:48 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:21:02 : LimitlessMc, mainchat, crystal4209#4698, chips!!!!!
03 Dec 2016 04:21:09 : LimitlessMc, mainchat, Third_Worm#4804, Le
03 Dec 2016 04:21:18 : LimitlessMc, mainchat, AlphaBit#3869, xd
03 Dec 2016 04:21:51 : LimitlessMc, mainchat, AlphaBit#3869, aaaah
03 Dec 2016 04:21:52 : LimitlessMc, mainchat, Third_Worm#4804, Ikr
03 Dec 2016 04:22:02 : LimitlessMc, mainchat, Third_Worm#4804, Oh my Alpha
03 Dec 2016 04:22:06 : LimitlessMc, mainchat, crystal4209#4698, you get both
03 Dec 2016 04:22:10 : LimitlessMc, mainchat, Third_Worm#4804, Duh
03 Dec 2016 04:22:13 : LimitlessMc, mainchat, Lightning#6734, dem warns emg
03 Dec 2016 04:22:14 : LimitlessMc, mainchat, Wertfuzzy77#0274, gotta love those stack overflow errors
03 Dec 2016 04:22:20 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:22:34 : LimitlessMc, mainchat, Third_Worm#4804, Me too lol
03 Dec 2016 04:22:38 : LimitlessMc, mainchat, AlphaBit#3869, makes my game so goofy
03 Dec 2016 04:22:48 : LimitlessMc, mainchat, Third_Worm#4804, Of you do
03 Dec 2016 04:22:54 : LimitlessMc, mainchat, AlphaBit#3869, if you could see my screencaps from the old srbr lmao
03 Dec 2016 04:22:55 : LimitlessMc, mainchat, crystal4209#4698, i never payed attention to the b &w story line
03 Dec 2016 04:22:57 : LimitlessMc, mainchat, Third_Worm#4804, o-o
03 Dec 2016 04:23:09 : LimitlessMc, mainchat, AlphaBit#3869, bw op
03 Dec 2016 04:23:16 : LimitlessMc, mainchat, Wertfuzzy77#0274, racist
03 Dec 2016 04:23:20 : LimitlessMc, mainchat, crystal4209#4698, cause i played it to fast
03 Dec 2016 04:23:21 : LimitlessMc, mainchat, Third_Worm#4804, I like it
03 Dec 2016 04:23:49 : LimitlessMc, mainchat, Wertfuzzy77#0274, I cant remember if i added anything to the bot recently?
03 Dec 2016 04:23:57 : LimitlessMc, mainchat, Lightning#6734, srbr and hep
03 Dec 2016 04:24:00 : LimitlessMc, mainchat, Wertfuzzy77#0274, ik i fixed the music, but idk if i paired it with anything ned
03 Dec 2016 04:24:03 : LimitlessMc, mainchat, Wertfuzzy77#0274, oh yeah
03 Dec 2016 04:24:04 : LimitlessMc, mainchat, AlphaBit#3869, hep is ol
03 Dec 2016 04:24:05 : LimitlessMc, mainchat, AlphaBit#3869, d
03 Dec 2016 04:24:10 : LimitlessMc, mainchat, AlphaBit#3869, ;srbr
03 Dec 2016 04:24:10 : LimitlessMc, mainchat, Botfuzzy77#2209, Dont Be Lazy, Type ;server
03 Dec 2016 04:24:11 : LimitlessMc, mainchat, AlphaBit#3869, ❤
03 Dec 2016 04:24:15 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:24:17 : LimitlessMc, mainchat, Wertfuzzy77#0274, i added ;srbr for you tho xD
03 Dec 2016 04:24:28 : LimitlessMc, mainchat, Wertfuzzy77#0274, but those dont count as features, they literally 1 line
03 Dec 2016 04:24:29 : LimitlessMc, mainchat, Lightning#6734, add lightningfixit
03 Dec 2016 04:24:31 : LimitlessMc, mainchat, Lightning#6734, xD
03 Dec 2016 04:24:34 : LimitlessMc, mainchat, crystal4209#4698, lol
03 Dec 2016 04:24:40 : LimitlessMc, mainchat, Wertfuzzy77#0274, any suggestions for things you want?
03 Dec 2016 04:24:45 : LimitlessMc, mainchat, Wertfuzzy77#0274, does this still work?
03 Dec 2016 04:24:48 : LimitlessMc, mainchat, Wertfuzzy77#0274, ;pokemon Celebi
03 Dec 2016 04:24:48 : LimitlessMc, mainchat, Botfuzzy77#2209, Pixelmon Page: http://pixelmonmod.com/wiki/index.php?title=Celebi
03 Dec 2016 04:24:48 : LimitlessMc, mainchat, Botfuzzy77#2209, Bulbapedia Page: http://bulbapedia.bulbagarden.net/wiki/Celebi
03 Dec 2016 04:24:48 : LimitlessMc, mainchat, Botfuzzy77#2209, Pokemon DB: http://pokemondb.net/pokedex/Celebi
03 Dec 2016 04:24:48 : LimitlessMc, mainchat, Botfuzzy77#2209, Smogon: http://www.smogon.com/dex/bw/pokemon/Celebi
03 Dec 2016 04:24:50 : LimitlessMc, mainchat, Wertfuzzy77#0274, 😄
03 Dec 2016 04:24:53 : LimitlessMc, mainchat, Wertfuzzy77#0274, ya
03 Dec 2016 04:25:01 : LimitlessMc, mainchat, Wertfuzzy77#0274, thought that broke in the transfer
03 Dec 2016 04:25:02 : LimitlessMc, mainchat, AlphaBit#3869, does relogging the bot work now even if ur pc is ded
03 Dec 2016 04:25:09 : LimitlessMc, mainchat, Wertfuzzy77#0274, the bot is hosted on the cloud
03 Dec 2016 04:25:23 : LimitlessMc, mainchat, Third_Worm#4804, Yeah
03 Dec 2016 04:25:25 : LimitlessMc, mainchat, Wertfuzzy77#0274, so.. ya
03 Dec 2016 04:25:28 : LimitlessMc, mainchat, AlphaBit#3869, yey
03 Dec 2016 04:25:33 : LimitlessMc, mainchat, Third_Worm#4804, Its really cool
03 Dec 2016 04:25:36 : LimitlessMc, mainchat, crystal4209#4698, shiny armor
03 Dec 2016 04:25:39 : LimitlessMc, mainchat, AlphaBit#3869, the Alpha/Lightning bot shenanigans will never happen again
03 Dec 2016 04:25:41 : LimitlessMc, mainchat, Third_Worm#4804, The armour
03 Dec 2016 04:25:42 : LimitlessMc, mainchat, AlphaBit#3869, #neverforget
03 Dec 2016 04:25:46 : LimitlessMc, mainchat, Wertfuzzy77#0274, unfortunatly I havnt set up the auto-relogs yet
03 Dec 2016 04:25:49 : LimitlessMc, mainchat, Lightning#6734, #neverforget
03 Dec 2016 04:26:01 : LimitlessMc, mainchat, Wertfuzzy77#0274, so if it crashes, have to manually start back up
03 Dec 2016 04:26:04 : LimitlessMc, mainchat, Wertfuzzy77#0274, but almost never crashes
03 Dec 2016 04:26:06 : LimitlessMc, mainchat, Wertfuzzy77#0274, which is good
03 Dec 2016 04:26:26 : LimitlessMc, mainchat, Wertfuzzy77#0274, alright, back to binge watching DW
03 Dec 2016 04:26:36 : LimitlessMc, mainchat, Wertfuzzy77#0274, ;afk Binge-watching shh
03 Dec 2016 04:26:36 : LimitlessMc, mainchat, Botfuzzy77#2209, Wertfuzzy77 is now AFK for reason:
**Binge-watching shh**
03 Dec 2016 04:26:39 : LimitlessMc, mainchat, Third_Worm#4804, I'm lagging 2 times as much as I did
03 Dec 2016 04:26:45 : LimitlessMc, mainchat, Third_Worm#4804, Well
03 Dec 2016 04:26:54 : LimitlessMc, mainchat, Nickyking#5687, i download jei but it says forge not compatible
03 Dec 2016 04:26:58 : LimitlessMc, mainchat, Third_Worm#4804, Who knows about secptic systems?
03 Dec 2016 04:27:03 : LimitlessMc, mainchat, Third_Worm#4804, Help me
03 Dec 2016 04:27:18 : LimitlessMc, mainchat, crystal4209#4698, 300 dollors a day
03 Dec 2016 04:27:34 : LimitlessMc, mainchat, Third_Worm#4804, Kay then, thank you
03 Dec 2016 04:28:16 : LimitlessMc, mainchat, Third_Worm#4804, Also what does the septic system connect to other then the house?
03 Dec 2016 04:28:24 : LimitlessMc, mainchat, Third_Worm#4804, Oh
03 Dec 2016 04:28:26 : LimitlessMc, mainchat, crystal4209#4698, you fixed that light
03 Dec 2016 04:28:40 : LimitlessMc, mainchat, crystal4209#4698, i cant type i  there anymore
03 Dec 2016 04:28:50 : LimitlessMc, mainchat, Lightning#6734, lele
03 Dec 2016 04:28:51 : LimitlessMc, mainchat, Third_Worm#4804, Night
03 Dec 2016 04:28:51 : LimitlessMc, mainchat, Lightning#6734, yay
03 Dec 2016 04:29:13 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:29:20 : LimitlessMc, mainchat, AlphaBit#3869, digimon is that the card game?
03 Dec 2016 04:29:26 : LimitlessMc, mainchat, Third_Worm#4804, Uh
03 Dec 2016 04:29:32 : LimitlessMc, mainchat, AlphaBit#3869, oh i know
03 Dec 2016 04:29:41 : LimitlessMc, mainchat, Third_Worm#4804, o-o
03 Dec 2016 04:29:44 : LimitlessMc, mainchat, Third_Worm#4804, Miles
03 Dec 2016 04:29:48 : LimitlessMc, mainchat, Third_Worm#4804, Get a job
03 Dec 2016 04:29:49 : LimitlessMc, mainchat, crystal4209#4698, rena wanted the staff to either change there skin to a theme for every month
03 Dec 2016 04:29:55 : LimitlessMc, mainchat, Lightning#6734, yeahh no
03 Dec 2016 04:29:58 : LimitlessMc, mainchat, Third_Worm#4804, So? Make money
03 Dec 2016 04:30:08 : LimitlessMc, mainchat, Third_Worm#4804, You can make time
03 Dec 2016 04:30:13 : LimitlessMc, mainchat, Lightning#6734, not changing my skins lel
03 Dec 2016 04:30:23 : LimitlessMc, mainchat, crystal4209#4698, oh yeah i can go for a part time job next year
03 Dec 2016 04:30:46 : LimitlessMc, mainchat, Third_Worm#4804, So can i
03 Dec 2016 04:30:49 : LimitlessMc, mainchat, Third_Worm#4804, Mowing
03 Dec 2016 04:30:54 : LimitlessMc, mainchat, Third_Worm#4804, And cleaning
03 Dec 2016 04:31:00 : LimitlessMc, mainchat, Third_Worm#4804, yay
