03 Dec 2016 11:14:49 : LimitlessMc, botchat, crystal4209#4698, ;join
03 Dec 2016 11:15:09 : LimitlessMc, botchat, crystal4209#4698, any playlists you want reso
03 Dec 2016 11:16:41 : LimitlessMc, botchat, crystal4209#4698, ;playlist AnimeOpenings
03 Dec 2016 11:17:08 : LimitlessMc, botchat, Botfuzzy77#2209, Finished Adding songs from playlist(s)
03 Dec 2016 11:20:19 : LimitlessMc, botchat, crystal4209#4698, it cant even play a playlist
03 Dec 2016 11:25:02 : LimitlessMc, botchat, crystal4209#4698, ;song
03 Dec 2016 11:35:02 : LimitlessMc, botchat, crystal4209#4698, bot hates em
03 Dec 2016 11:35:05 : LimitlessMc, botchat, crystal4209#4698, me
03 Dec 2016 11:35:46 : LimitlessMc, botchat, Zorua#5017, Crystal
03 Dec 2016 11:37:15 : LimitlessMc, botchat, crystal4209#4698, ;relog
03 Dec 2016 11:37:16 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
