09 Dec 2016 20:20:58 : LimitlessMc, botchat, Wertfuzzy77#0274, hey? @Botfuzzy77
09 Dec 2016 20:20:58 : LimitlessMc, botchat, Botfuzzy77#2209, No me llamo Manuel.
09 Dec 2016 20:21:03 : LimitlessMc, botchat, Wertfuzzy77#0274, um
09 Dec 2016 20:21:05 : LimitlessMc, botchat, Wertfuzzy77#0274, well
09 Dec 2016 20:21:06 : LimitlessMc, botchat, Wertfuzzy77#0274, it works?
09 Dec 2016 20:21:21 : LimitlessMc, botchat, Wertfuzzy77#0274, but its still dumb as a rock
09 Dec 2016 20:21:23 : LimitlessMc, botchat, Wertfuzzy77#0274, rip
09 Dec 2016 20:21:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ;radio
09 Dec 2016 20:21:32 : LimitlessMc, botchat, Wertfuzzy77#0274, KYS
09 Dec 2016 20:22:24 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
09 Dec 2016 20:22:24 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
