09 Dec 2016 20:23:42 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
09 Dec 2016 20:23:42 : LimitlessMc, botchat, Botfuzzy77#2209, Radio Mode: True
09 Dec 2016 20:23:44 : LimitlessMc, botchat, Wertfuzzy77#0274, wut
09 Dec 2016 20:23:45 : LimitlessMc, botchat, Wertfuzzy77#0274, wuttt
09 Dec 2016 20:23:49 : LimitlessMc, botchat, Wertfuzzy77#0274, WHYYYYYY
09 Dec 2016 20:24:00 : LimitlessMc, botchat, Wertfuzzy77#0274, it doesnt like what its `radio` only likes `Radio`
09 Dec 2016 20:24:01 : LimitlessMc, botchat, Wertfuzzy77#0274, .....
09 Dec 2016 20:24:03 : LimitlessMc, botchat, Wertfuzzy77#0274, kys @Botfuzzy77
09 Dec 2016 20:24:04 : LimitlessMc, botchat, Botfuzzy77#2209, 122?
09 Dec 2016 20:24:12 : LimitlessMc, botchat, Lightning#6734, LUL
09 Dec 2016 20:24:18 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
09 Dec 2016 20:24:18 : LimitlessMc, botchat, Botfuzzy77#2209, Radio Mode: False
09 Dec 2016 20:24:24 : LimitlessMc, botchat, Wertfuzzy77#0274, alright, time to see if it works
09 Dec 2016 20:24:28 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
09 Dec 2016 20:24:28 : LimitlessMc, botchat, Botfuzzy77#2209, Queue is Empty
09 Dec 2016 20:24:30 : LimitlessMc, botchat, Wertfuzzy77#0274, alright
09 Dec 2016 20:24:36 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
09 Dec 2016 20:25:03 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=HQnC1UHBvWA
09 Dec 2016 20:25:18 : LimitlessMc, botchat, Botfuzzy77#2209, Added Porter Robinson & Madeon - Shelter (Official Audio) to the queue
09 Dec 2016 20:25:38 : LimitlessMc, botchat, Wertfuzzy77#0274, alright, are you ready for the beuaty that is ;Radio
09 Dec 2016 20:26:01 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
09 Dec 2016 20:26:02 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
