09 Dec 2016 20:29:38 : LimitlessMc, botchat, Wertfuzzy77#0274, plz
09 Dec 2016 20:29:38 : LimitlessMc, botchat, Wertfuzzy77#0274, plz
09 Dec 2016 20:29:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
09 Dec 2016 20:29:46 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=HQnC1UHBvWA
09 Dec 2016 20:29:48 : LimitlessMc, botchat, Botfuzzy77#2209, Added Porter Robinson & Madeon - Shelter (Official Audio) to the queue
09 Dec 2016 20:30:00 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
09 Dec 2016 20:30:00 : LimitlessMc, botchat, Botfuzzy77#2209, Radio Mode: True
09 Dec 2016 20:30:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
09 Dec 2016 20:30:02 : LimitlessMc, botchat, Botfuzzy77#2209, Queue is Empty
09 Dec 2016 20:30:03 : LimitlessMc, botchat, Wertfuzzy77#0274, ;skip
09 Dec 2016 20:30:04 : LimitlessMc, botchat, Botfuzzy77#2209, Skipping Porter Robinson & Madeon - Shelter (Official Audio)
09 Dec 2016 20:30:31 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
09 Dec 2016 20:30:31 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
