03 Jan 2017 20:11:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ;boss A
03 Jan 2017 20:11:43 : Pokemon Mystery Dungeon, general, DicloniusPony#6564, rip
03 Jan 2017 20:12:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
03 Jan 2017 20:12:06 : LimitlessMc, botchat, Botfuzzy77#2209, Something went wrong :(
03 Jan 2017 20:12:06 : LimitlessMc, botchat, Botfuzzy77#2209, NameError: name 'Boss' is not defined
03 Jan 2017 20:12:13 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
03 Jan 2017 20:12:13 : LimitlessMc, botchat, Botfuzzy77#2209, Something went wrong :(
03 Jan 2017 20:12:13 : LimitlessMc, botchat, Botfuzzy77#2209, NameError: name 'Boss' is not defined
03 Jan 2017 20:12:17 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
03 Jan 2017 20:12:17 : LimitlessMc, botchat, Botfuzzy77#2209, Something went wrong :(
03 Jan 2017 20:12:17 : LimitlessMc, botchat, Botfuzzy77#2209, NameError: name 'Boss' is not defined
03 Jan 2017 20:12:19 : LimitlessMc, botchat, Wertfuzzy77#0274, ....
03 Jan 2017 20:12:29 : Pokemon Mystery Dungeon, bot_chat, DicloniusPony#6564, ^r mami tetris
03 Jan 2017 20:12:31 : Pokemon Mystery Dungeon, bot_chat, DicloniusPony#6564, ^nope
03 Jan 2017 20:12:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relaod
03 Jan 2017 20:12:36 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
03 Jan 2017 20:12:36 : LimitlessMc, botchat, Botfuzzy77#2209, Something went wrong :(
03 Jan 2017 20:12:36 : LimitlessMc, botchat, Botfuzzy77#2209, NameError: name 'Boss' is not defined
03 Jan 2017 20:12:40 : Pokemon Mystery Dungeon, general, DicloniusPony#6564, @Umbreon XD
03 Jan 2017 20:12:40 : LimitlessMc, botchat, Wertfuzzy77#0274, actually kys @Botfuzzy77
03 Jan 2017 20:12:43 : LimitlessMc, botchat, Botfuzzy77#2209, Stawp.
03 Jan 2017 20:13:37 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
03 Jan 2017 20:13:37 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
