16 Jan 2017 02:19:56 : LimitlessMc, botchat, Wertfuzzy77#0274, local bot
16 Jan 2017 02:20:03 : LimitlessMc, botchat, MoonWolf#8885, ;search Transistor We all become
16 Jan 2017 02:20:03 : LimitlessMc, botchat, Botfuzzy77#2209, Added Transistor OST - We All Become (feat Ashley Barrett) to the queue
16 Jan 2017 02:20:03 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=dw3VoxL36Vo
16 Jan 2017 02:20:03 : LimitlessMc, botchat, Botfuzzy77#2209, I am not connected to a Voice Chat!
16 Jan 2017 02:20:12 : LimitlessMc, mainchat, Lightning#6734, REEEEEeee
16 Jan 2017 02:20:17 : LimitlessMc, botchat, Wertfuzzy77#0274, ;viewplaylist positivity
16 Jan 2017 02:20:27 : LimitlessMc, botchat, Wertfuzzy77#0274, ;viewplaylist positivity
16 Jan 2017 02:20:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
16 Jan 2017 02:20:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ;viewplaylist positivity
16 Jan 2017 02:20:39 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search Transistor We all become
16 Jan 2017 02:21:42 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
16 Jan 2017 02:21:59 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
