16 Jan 2017 03:11:48 : LimitlessMc, mainchat, Third_Worm#4804, @Lightning you getting even better? hmmmm?
16 Jan 2017 03:11:58 : LimitlessMc, mainchat, Crystal4209#4698, done
16 Jan 2017 03:11:59 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
16 Jan 2017 03:12:01 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search My Dearest Guilty Crown
16 Jan 2017 03:12:05 : LimitlessMc, botchat, Botfuzzy77#2209, https://r4---sn-j5caxoxu-pn2s.googlevideo.com/videoplayback?pcm2cms=yes&expire=1484557925&lmt=1367764432769355&ei=BTp8WOT1IM6C8wTAt4aIDA&mt=1484536245&upn=PIip5tMZNxI&key=yt6&clen=10844276&requiressl=yes&gir=yes&sparams=clen%2Cdur%2Cei%2Cgir%2Cid%2Cinitcwndbps%2Cip%2Cipbits%2Citag%2Clmt%2Cmime%2Cmm%2Cmn%2Cms%2Cmv%2Cpcm2cms%2Cpl%2Cratebypass%2Crequiressl%2Csource%2Cupn%2Cexpire&beids=%5B9452306%5D&ipbits=0&ratebypass=yes&pl=20&initcwndbps=2282500&id=o-AK2_iLOyBiTBEpzoQpxiPvVMjfi6YRPvGbpSyZNYrz1g&dur=0.000&ms=au&signature=21EF3D4AD50F2D85FA0C9D2267F8F6C4BD5E8D98.5B74F90201C294B3E57271AC66ED598528852FCE&mime=video%2Fwebm&mv=m&source=youtube&mn=sn-j5caxoxu-pn2s&mm=31&ip=74.89.195.160&itag=43
16 Jan 2017 03:12:12 : LimitlessMc, mainchat, DicloniusPony#6564, even though i have new earphones and mic, it still wont connect me wtf
16 Jan 2017 03:12:20 : LimitlessMc, mainchat, DicloniusPony#6564, what is this bullshit
16 Jan 2017 03:12:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;skip
16 Jan 2017 03:12:31 : LimitlessMc, mainchat, Third_Worm#4804, much pain
16 Jan 2017 03:12:37 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search My Dearest Guilty Crown Animenz
16 Jan 2017 03:12:39 : LimitlessMc, botchat, Botfuzzy77#2209, Added *My Dearest  - Guilty Crown OP 1 [Piano]* to the queue
16 Jan 2017 03:12:39 : LimitlessMc, botchat, Botfuzzy77#2209, https://r4---sn-j5caxoxu-pn2l.googlevideo.com/videoplayback?ratebypass=yes&clen=28938844&source=youtube&mn=sn-j5caxoxu-pn2l&ms=au&mt=1484536245&mv=m&upn=3v7JuiBIcgs&dur=0.000&ipbits=0&mime=video%2Fwebm&key=yt6&itag=43&lmt=1361737308790231&signature=B84CD96293C94798D6CF75374B0D911E95D571A1.2E538C383F81AB8B505B25227D20A18FEEEA6E8A&expire=1484557959&mm=31&gir=yes&pcm2cms=yes&requiressl=yes&pl=20&ei=Jzp8WMCxAoeG8wTH7YBw&ip=74.89.195.160&initcwndbps=2272500&id=o-AMO0c2e4xz4XnBEBIXMFfx9z1CVqPHCzjs40tr0qD-CV&sparams=clen%2Cdur%2Cei%2Cgir%2Cid%2Cinitcwndbps%2Cip%2Cipbits%2Citag%2Clmt%2Cmime%2Cmm%2Cmn%2Cms%2Cmv%2Cpcm2cms%2Cpl%2Cratebypass%2Crequiressl%2Csource%2Cupn%2Cexpire
16 Jan 2017 03:12:46 : LimitlessMc, mainchat, TherminatorX#6644, @DicloniusPony you using the Discord client?
16 Jan 2017 03:12:58 : LimitlessMc, mainchat, ChesireKat#7022, the downloaded one doesnt auto mute
16 Jan 2017 03:13:11 : LimitlessMc, mainchat, Third_Worm#4804, @Wertfuzzy77 Your mic is kinda hazy
16 Jan 2017 03:13:17 : LimitlessMc, mainchat, Third_Worm#4804, @Crystal4209 <-
16 Jan 2017 03:13:21 : LimitlessMc, mainchat, Crystal4209#4698, oi
16 Jan 2017 03:13:26 : LimitlessMc, mainchat, TherminatorX#6644, Vey
16 Jan 2017 03:13:32 : LimitlessMc, mainchat, Third_Worm#4804, your all hazy le
16 Jan 2017 03:13:35 : LimitlessMc, mainchat, Third_Worm#4804, its fun
16 Jan 2017 03:13:36 : LimitlessMc, mainchat, MoonWolf#8885, So its yours crystal right now
16 Jan 2017 03:13:41 : LimitlessMc, mainchat, MoonWolf#8885, Might be discord.
16 Jan 2017 03:13:54 : LimitlessMc, botchat, TherminatorX#6644, Hek
16 Jan 2017 03:14:10 : LimitlessMc, botchat, TherminatorX#6644, Fuz, what's with the URLs?
16 Jan 2017 03:14:21 : LimitlessMc, botchat, Wertfuzzy77#0274, yes
16 Jan 2017 03:14:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
16 Jan 2017 03:14:51 : LimitlessMc, mainchat, MoonWolf#8885, Wert
16 Jan 2017 03:14:51 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
