17 Jan 2017 20:05:53 : Pulse, botchat, Lightning#6734, nah
17 Jan 2017 20:05:58 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
17 Jan 2017 20:05:59 : Pulse, botchat, Lightning#6734, don't take my prescious
17 Jan 2017 20:06:00 : Pulse, botchat, Lightning#6734, kek
17 Jan 2017 20:06:15 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ;train
17 Jan 2017 20:06:16 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=0t2tjNqGyJI https://www.youtube.com/watch?v=gGdGFtwCNBE https://www.youtube.com/watch?v=QoitiIbdeaM
17 Jan 2017 20:06:18 : LimitlessMc, botchat, Botfuzzy77#2209, Added Twenty One Pilots - Stressed Out (Tomsize Remix) to the queue
17 Jan 2017 20:06:19 : LimitlessMc, botchat, Botfuzzy77#2209, Added The Killers - Mr. Brightside to the queue
17 Jan 2017 20:06:21 : LimitlessMc, botchat, Botfuzzy77#2209, Added Owl City - Fireflies (Said The Sky Remix) to the queue
17 Jan 2017 20:06:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=pVLmZMjxfjw
17 Jan 2017 20:06:30 : LimitlessMc, botchat, Botfuzzy77#2209, Added Eiffel 65 - Blue (KNY Factory Remix) to the queue
17 Jan 2017 20:06:31 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ...
17 Jan 2017 20:06:50 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ;kys
17 Jan 2017 20:06:50 : Pokemon Mystery Dungeon, poke_battles, Botfuzzy77#2209, Hey Mean!
17 Jan 2017 20:06:59 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ;train
17 Jan 2017 20:06:59 : LimitlessMc, botchat, MoonWolf#8885, ;pokeboss
17 Jan 2017 20:07:04 : LimitlessMc, botchat, MoonWolf#8885, ;pokebattle NNNNN
17 Jan 2017 20:07:05 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ;cd
17 Jan 2017 20:07:10 : LimitlessMc, botchat, Wertfuzzy77#0274, o
17 Jan 2017 20:07:17 : LimitlessMc, botchat, Wertfuzzy77#0274, did that not load up?
17 Jan 2017 20:07:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ew, i broke it
17 Jan 2017 20:07:24 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ;pokeboss
17 Jan 2017 20:07:27 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeIcon
17 Jan 2017 20:07:31 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeIcon
17 Jan 2017 20:07:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ayy
17 Jan 2017 20:07:35 : LimitlessMc, botchat, Botfuzzy77#2209, Lmao
17 Jan 2017 20:07:37 : LimitlessMc, botchat, Wertfuzzy77#0274, ned icon
17 Jan 2017 20:07:47 : LimitlessMc, botchat, Wertfuzzy77#0274, new*
17 Jan 2017 20:08:06 : Pokemon Mystery Dungeon, bot_chat, TherminatorX#6644, @Umbreon (kick for spam?)
17 Jan 2017 20:08:08 : Pulse, botchat, Third_Worm#4804, le
17 Jan 2017 20:08:17 : Pulse, botchat, Third_Worm#4804, ;-; but i'm learning code
17 Jan 2017 20:08:21 : Pulse, botchat, Third_Worm#4804, give me a play toyy
17 Jan 2017 20:09:17 : LimitlessMc, botchat, TherminatorX#6644, ;pokebattle ddddd
17 Jan 2017 20:09:45 : LimitlessMc, botchat, DanTurboX#4833, ;train
17 Jan 2017 20:10:02 : LimitlessMc, botchat, DanTurboX#4833, ;train
17 Jan 2017 20:10:08 : LimitlessMc, botchat, DanTurboX#4833, Dead again?
17 Jan 2017 20:10:16 : LimitlessMc, botchat, TherminatorX#6644, No OP pokeloots for you :P
