17 Jan 2017 20:17:08 : LimitlessMc, botchat, Dankdra#0051, ;join
17 Jan 2017 20:17:08 : LimitlessMc, botchat, Botfuzzy77#2209, You are not connected to a voice channel!
17 Jan 2017 20:17:08 : LimitlessMc, botchat, Botfuzzy77#2209, You are not connected to a voice channel!
17 Jan 2017 20:17:19 : LimitlessMc, botchat, Dankdra#0051, ;join
17 Jan 2017 20:17:23 : LimitlessMc, botchat, Dankdra#0051, ;train
17 Jan 2017 20:17:26 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 YOU TOASTER
17 Jan 2017 20:17:27 : LimitlessMc, botchat, MoonWolf#8885, Wert.. remind me what do i need shadmetal?
17 Jan 2017 20:17:27 : LimitlessMc, botchat, Botfuzzy77#2209, Maybe...
17 Jan 2017 20:17:27 : LimitlessMc, botchat, Botfuzzy77#2209, Eh?
17 Jan 2017 20:17:40 : LimitlessMc, botchat, MoonWolf#8885, Why*
17 Jan 2017 20:17:46 : LimitlessMc, botchat, Wertfuzzy77#0274, dont think you need it
17 Jan 2017 20:18:12 : LimitlessMc, botchat, MoonWolf#8885, Hmm
17 Jan 2017 20:18:23 : LimitlessMc, botchat, MoonWolf#8885, Then it's worthless to collect them?
17 Jan 2017 20:18:41 : LimitlessMc, botchat, Wertfuzzy77#0274, sell it tho
17 Jan 2017 20:18:48 : LimitlessMc, botchat, Wertfuzzy77#0274, and maybe is useful later
17 Jan 2017 20:18:54 : Pokemon Mystery Dungeon, bot_chat, ChesireKat#7022, sure
17 Jan 2017 20:18:55 : LimitlessMc, botchat, Dankdra#0051, ;leave
17 Jan 2017 20:18:56 : LimitlessMc, botchat, Wertfuzzy77#0274, plus you get achievments for collectings things
