18 Jan 2017 03:44:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pokebattle
18 Jan 2017 03:44:06 : LimitlessMc, botchat, Botfuzzy77#2209, Please use a Combination of **8** Types. `;types`
18 Jan 2017 03:44:08 : LimitlessMc, botchat, Wertfuzzy77#0274, ayy
18 Jan 2017 03:44:08 : LimitlessMc, botchat, Botfuzzy77#2209, Lmao
18 Jan 2017 03:44:09 : LimitlessMc, botchat, Wertfuzzy77#0274, it worked
18 Jan 2017 03:44:32 : LimitlessMc, botchat, Wertfuzzy77#0274, It will now have you battle in the area that is best for you
18 Jan 2017 03:44:39 : LimitlessMc, botchat, Wertfuzzy77#0274, but you can still manually add em
18 Jan 2017 03:44:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pokebattle nnnnnnnn
18 Jan 2017 03:44:44 : LimitlessMc, botchat, Botfuzzy77#2209, The Available Locations are easy, medium, hard, insane
18 Jan 2017 03:44:48 : LimitlessMc, botchat, Wertfuzzy77#0274, hmm
18 Jan 2017 03:44:57 : LimitlessMc, botchat, Wertfuzzy77#0274, let me reverse it
