20 Jan 2017 02:39:17 : LimitlessMc, botchat, MoonWolf#8885, Got like 30 spiders
20 Jan 2017 02:39:18 : LimitlessMc, botchat, MoonWolf#8885, out of a tomb
20 Jan 2017 02:39:25 : LimitlessMc, botchat, MoonWolf#8885, It was an accident
20 Jan 2017 02:39:29 : LimitlessMc, botchat, MoonWolf#8885, it was inside the mountain xD
20 Jan 2017 02:39:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
20 Jan 2017 02:39:53 : LimitlessMc, botchat, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=Ds7CtCSjZqk
20 Jan 2017 02:40:08 : LimitlessMc, botchat, MoonWolf#8885, Who's that in the background?
20 Jan 2017 02:40:39 : LimitlessMc, botchat, MoonWolf#8885, No
20 Jan 2017 02:40:41 : LimitlessMc, botchat, MoonWolf#8885, On your mic.
20 Jan 2017 02:40:42 : LimitlessMc, botchat, MoonWolf#8885, xD
20 Jan 2017 02:40:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=WDlODNJkvAE
20 Jan 2017 02:40:48 : LimitlessMc, botchat, MoonWolf#8885, Is he hawt?
