23 Jan 2017 21:44:23 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 10000
23 Jan 2017 21:44:23 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
23 Jan 2017 21:44:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ayy
23 Jan 2017 21:44:25 : LimitlessMc, botchat, Botfuzzy77#2209, Lmao
23 Jan 2017 21:44:26 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
23 Jan 2017 21:44:26 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *Wertfuzzy77*
**Level**: 45
**Pokemon**: Regice
**XP**: 11530/97336
**Boss Takedowns**: 20
**Most Dmg in an Attack**: 7794
23 Jan 2017 21:44:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ..................
23 Jan 2017 21:44:36 : LimitlessMc, botchat, Wertfuzzy77#0274, except it didnt work xD
23 Jan 2017 21:45:20 : LimitlessMc, mainchat, Adam#7575, @Lightning do ranches now work even with blocks above them now?
23 Jan 2017 21:45:31 : LimitlessMc, mainchat, Lightning#6734, should?
23 Jan 2017 21:45:37 : LimitlessMc, mainchat, Adam#7575, oh cool
23 Jan 2017 21:45:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 10000
23 Jan 2017 21:45:44 : LimitlessMc, mainchat, Adam#7575, didnt always used to be the case
23 Jan 2017 21:45:48 : LimitlessMc, botchat, Wertfuzzy77#0274, rip
23 Jan 2017 21:45:50 : LimitlessMc, mainchat, Lightning#6734, if not may need to tweak it more
23 Jan 2017 21:45:58 : LimitlessMc, mainchat, Adam#7575, is that a recent adjustment?
