26 Jan 2017 04:37:26 : LimitlessMc, botchat, TherminatorX#6644, ;level
26 Jan 2017 04:37:27 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *TherminatorX*
**Level**: 50
26 Jan 2017 04:37:27 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:37:27 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 64844/132651
**Boss Takedowns**: 22
**Most Dmg in an Attack**: 26778
26 Jan 2017 04:37:32 : LimitlessMc, botchat, Crystal4209#4698, ;gamble 4000
26 Jan 2017 04:37:33 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:37:33 : LimitlessMc, botchat, Botfuzzy77#2209, You are exhausted from Gambling...
26 Jan 2017 04:37:36 : LimitlessMc, botchat, TherminatorX#6644, ;gamble 20000
26 Jan 2017 04:37:37 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:37:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
26 Jan 2017 04:37:41 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *Wertfuzzy77*
**Level**: 48
26 Jan 2017 04:37:41 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:37:41 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 8785/117649
**Boss Takedowns**: 20
**Most Dmg in an Attack**: 7794
26 Jan 2017 04:37:45 : Unity Of Nirvana, general, TopBee#3869, i make jungle castle somewhere okei
26 Jan 2017 04:37:46 : LimitlessMc, botchat, Crystal4209#4698, ;level
26 Jan 2017 04:37:46 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *Crystal4209*
**Level**: 32
26 Jan 2017 04:37:46 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:37:46 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 35000/35937
**Boss Takedowns**: 6
**Most Dmg in an Attack**: 4990
26 Jan 2017 04:37:48 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 30000
26 Jan 2017 04:37:48 : LimitlessMc, botchat, Botfuzzy77#2209, You don't have that much XP
26 Jan 2017 04:37:48 : LimitlessMc, botchat, TherminatorX#6644, ;level
26 Jan 2017 04:37:48 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *TherminatorX*
**Level**: 50
26 Jan 2017 04:37:52 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:37:52 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 104844/132651
**Boss Takedowns**: 22
**Most Dmg in an Attack**: 26778
26 Jan 2017 04:37:55 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 8000
26 Jan 2017 04:37:55 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:37:55 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 8000
26 Jan 2017 04:37:55 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:37:56 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 8000
26 Jan 2017 04:37:56 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:38:01 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 30000
26 Jan 2017 04:38:01 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:38:01 : Unity Of Nirvana, general, TopBee#3869, will probs start in may
26 Jan 2017 04:38:01 : Unity Of Nirvana, general, Crystal4209#4698, okai
26 Jan 2017 04:38:02 : Unity Of Nirvana, general, TopBee#3869, le
26 Jan 2017 04:38:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 30000
26 Jan 2017 04:38:02 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:38:03 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 30000
26 Jan 2017 04:38:03 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:38:05 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
26 Jan 2017 04:38:05 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *Wertfuzzy77*
**Level**: 49
26 Jan 2017 04:38:06 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:38:06 : Unity Of Nirvana, general, Crystal4209#4698, lel
26 Jan 2017 04:38:07 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 119136/125000
**Boss Takedowns**: 20
**Most Dmg in an Attack**: 7794
26 Jan 2017 04:38:09 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 30000
26 Jan 2017 04:38:09 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:38:11 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
26 Jan 2017 04:38:11 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *Wertfuzzy77*
**Level**: 50
26 Jan 2017 04:38:11 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:38:11 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 54136/132651
**Boss Takedowns**: 20
**Most Dmg in an Attack**: 7794
26 Jan 2017 04:38:13 : LimitlessMc, botchat, Crystal4209#4698, ;level
26 Jan 2017 04:38:13 : LimitlessMc, botchat, Botfuzzy77#2209, **Name**: *Crystal4209*
**Level**: 32
26 Jan 2017 04:38:13 : LimitlessMc, botchat, Botfuzzy77#2209, 
26 Jan 2017 04:38:13 : LimitlessMc, botchat, Botfuzzy77#2209, **XP**: 35000/35937
**Boss Takedowns**: 6
**Most Dmg in an Attack**: 4990
26 Jan 2017 04:38:15 : LimitlessMc, botchat, TherminatorX#6644, ;gamble 20000
26 Jan 2017 04:38:15 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
26 Jan 2017 04:38:15 : LimitlessMc, botchat, Botfuzzy77#2209, You are exhausted from Gambling...
26 Jan 2017 04:38:23 : LimitlessMc, botchat, Crystal4209#4698, ;gamble 35000
26 Jan 2017 04:38:23 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 70 seconds before you can gamble again.
26 Jan 2017 04:38:28 : LimitlessMc, botchat, Crystal4209#4698, ...
26 Jan 2017 04:39:07 : LimitlessMc, botchat, Crystal4209#4698, ;cd
26 Jan 2017 04:39:07 : LimitlessMc, botchat, Botfuzzy77#2209, **Battle**
You can battle right now!
**Train** (*Note: Must be Level 5 to use ;train*)
You can Train right now!
26 Jan 2017 04:39:11 : LimitlessMc, botchat, Crystal4209#4698, 'train
