29 Jan 2017 20:32:41 : Cipher, music, Wertfuzzy77#0274, ;join
29 Jan 2017 20:32:51 : Cipher, music, Wertfuzzy77#0274, ;playlist Coldplay
29 Jan 2017 20:32:57 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
29 Jan 2017 20:32:58 : Cipher, music, Wertfuzzy77#0274, o
29 Jan 2017 20:32:59 : Cipher, music, Wertfuzzy77#0274, it works
29 Jan 2017 20:33:10 : Cipher, music, Wertfuzzy77#0274, real quick, need to test something on a different server
29 Jan 2017 20:33:15 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
29 Jan 2017 20:33:18 : Cipher, cala, Calamariela#4119, how you add mine?
29 Jan 2017 20:33:19 : LimitlessMc, botchat, Wertfuzzy77#0274, ;playlist Maroon
29 Jan 2017 20:33:23 : LimitlessMc, botchat, Botfuzzy77#2209, Finished Adding songs from playlist(s)
29 Jan 2017 20:33:29 : Cipher, music, Wertfuzzy77#0274, !!!!!!!!!!!!!
29 Jan 2017 20:33:32 : Cipher, music, Wertfuzzy77#0274, it works!
29 Jan 2017 20:33:34 : Cipher, music, Wertfuzzy77#0274, we did it
29 Jan 2017 20:34:18 : Cipher, music, Wertfuzzy77#0274, ;clear
29 Jan 2017 20:34:19 : Cipher, music, Botfuzzy77#2209, Cleared Queue!
29 Jan 2017 20:34:25 : Cipher, music, Wertfuzzy77#0274, ;playlist Cala
29 Jan 2017 20:34:34 : Cipher, music, Wertfuzzy77#0274, ;songs
29 Jan 2017 20:34:40 : Cipher, music, Wertfuzzy77#0274, ;join
29 Jan 2017 20:34:40 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
29 Jan 2017 20:34:52 : Cipher, music, Wertfuzzy77#0274, ;musicdebug self.useQueue()
29 Jan 2017 20:34:58 : Cipher, music, Wertfuzzy77#0274, hmm
29 Jan 2017 20:35:01 : Cipher, music, Wertfuzzy77#0274, interesting
29 Jan 2017 20:35:15 : Cipher, music, Wertfuzzy77#0274, so could be some bugs
