31 Jan 2017 19:59:59 : Rangers of insanity, general, Survivor642#9571, it did put i think it needs to apply updates
31 Jan 2017 20:00:05 : Rangers of insanity, general, Wertfuzzy77#0274, bot back
31 Jan 2017 20:00:10 : Rangers of insanity, general, Wertfuzzy77#0274, no idea if fixed the problem tho
31 Jan 2017 20:00:14 : Rangers of insanity, general, Wertfuzzy77#0274, try music again
31 Jan 2017 20:00:16 : Rangers of insanity, general, StubbyMuffins#1053, want me to try again
31 Jan 2017 20:00:18 : Rangers of insanity, general, StubbyMuffins#1053, kk
31 Jan 2017 20:00:24 : Rangers of insanity, bot, StubbyMuffins#1053, ;join
31 Jan 2017 20:00:31 : Rangers of insanity, bot, StubbyMuffins#1053, ;playlist Coldplay
31 Jan 2017 20:00:38 : Rangers of insanity, bot, Wertfuzzy77#0274, nope xD
31 Jan 2017 20:00:40 : Rangers of insanity, bot, Wertfuzzy77#0274, big errors
31 Jan 2017 20:00:48 : Rangers of insanity, bot, StubbyMuffins#1053, ;playlist Adele
31 Jan 2017 20:00:52 : Rangers of insanity, bot, StubbyMuffins#1053, yeah nothing
31 Jan 2017 20:00:52 : Rangers of insanity, bot, Survivor642#9571, that profile pick is very fitting lol
31 Jan 2017 20:00:57 : Rangers of insanity, bot, StubbyMuffins#1053, what mine?
31 Jan 2017 20:00:58 : Rangers of insanity, bot, StubbyMuffins#1053, lel
31 Jan 2017 20:01:04 : Rangers of insanity, bot, Survivor642#9571, no werts
31 Jan 2017 20:01:07 : Rangers of insanity, bot, StubbyMuffins#1053, oh lool
