05 Feb 2017 21:07:11 : Cipher, cala, Wertfuzzy77#0274, ;join
05 Feb 2017 21:07:12 : Cipher, cala, Botfuzzy77#2209, Connected channel!
05 Feb 2017 21:07:20 : Cipher, cala, Calamariela#4119, omg
05 Feb 2017 21:07:25 : Cipher, cala, Wertfuzzy77#0274, alright, you can play your music if you want 😛 I'm done debugging
05 Feb 2017 21:07:34 : Cipher, cala, Calamariela#4119, wait i havent heard mm yeah and the weird russian guy
05 Feb 2017 21:07:42 : Cipher, cala, Wertfuzzy77#0274, xD
05 Feb 2017 21:07:48 : Cipher, cala, Calamariela#4119, not on there anymore?
05 Feb 2017 21:07:57 : Cipher, cala, Wertfuzzy77#0274, ;viewplaylist Cala
05 Feb 2017 21:07:57 : Cipher, cala, Botfuzzy77#2209, The Bot isnt connected in this server!
05 Feb 2017 21:08:00 : Cipher, cala, Wertfuzzy77#0274, ....
05 Feb 2017 21:08:05 : Cipher, cala, Calamariela#4119, bugsss
05 Feb 2017 21:08:06 : Cipher, cala, Wertfuzzy77#0274, useless bot
05 Feb 2017 21:08:12 : Cipher, cala, Wertfuzzy77#0274, ;playlist Cala
05 Feb 2017 21:08:15 : Cipher, cala, Botfuzzy77#2209, Reconnected channel!
05 Feb 2017 21:08:23 : Cipher, cala, Calamariela#4119, xD
05 Feb 2017 21:08:38 : Cipher, cala, Wertfuzzy77#0274, o
05 Feb 2017 21:08:44 : Cipher, cala, Wertfuzzy77#0274, something broke xD
05 Feb 2017 21:08:52 : Cipher, cala, Calamariela#4119, werttttt
05 Feb 2017 21:09:00 : Cipher, cala, Wertfuzzy77#0274, shhhhhhh
05 Feb 2017 21:09:07 : Cipher, cala, Calamariela#4119, hushhhhh
05 Feb 2017 21:09:08 : Cipher, cala, Wertfuzzy77#0274, ;leave
05 Feb 2017 21:09:11 : Cipher, cala, Wertfuzzy77#0274, ;join
05 Feb 2017 21:09:11 : Cipher, cala, Botfuzzy77#2209, Connected channel!
05 Feb 2017 21:09:15 : Cipher, cala, Wertfuzzy77#0274, ;playlist Cala
05 Feb 2017 21:09:17 : Cipher, cala, Botfuzzy77#2209, Reconnected channel!
05 Feb 2017 21:09:21 : Cipher, cala, Wertfuzzy77#0274, .....
05 Feb 2017 21:09:23 : Cipher, cala, Wertfuzzy77#0274, v confused
05 Feb 2017 21:09:31 : Cipher, cala, Botfuzzy77#2209, Finished Adding songs from playlist(s)
