05 Feb 2017 21:10:02 : LimitlessMc, mainchat, Wertfuzzy77#0274, did you try ;slap
05 Feb 2017 21:10:13 : Cipher, cala, Wertfuzzy77#0274, ;join
05 Feb 2017 21:10:13 : Cipher, cala, Botfuzzy77#2209, Connected channel!
05 Feb 2017 21:10:18 : Cipher, cala, Wertfuzzy77#0274, ;playlist Cala
05 Feb 2017 21:10:21 : Cipher, cala, Botfuzzy77#2209, Reconnected channel!
05 Feb 2017 21:10:25 : Cipher, cala, Wertfuzzy77#0274, ............................
05 Feb 2017 21:10:34 : Cipher, cala, Wertfuzzy77#0274, I am very confused
05 Feb 2017 21:10:34 : Cipher, cala, Botfuzzy77#2209, Finished Adding songs from playlist(s)
05 Feb 2017 21:10:39 : Cipher, cala, Wertfuzzy77#0274, send help
05 Feb 2017 21:11:17 : Cipher, cala, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=tVj0ZTS4WF4
05 Feb 2017 21:11:18 : Cipher, cala, Botfuzzy77#2209, Added Weird russian singer - Chum Drum Bedrum to the queue
05 Feb 2017 21:11:21 : Cipher, cala, Wertfuzzy77#0274, ;songs
05 Feb 2017 21:11:21 : Cipher, cala, Botfuzzy77#2209, Queue is Empty
05 Feb 2017 21:11:24 : Cipher, cala, Wertfuzzy77#0274, .....
05 Feb 2017 21:11:45 : LimitlessMc, mainchat, Talha_Choudhry#5495, Yeah but didnt work
05 Feb 2017 21:11:45 : Cipher, cala, Calamariela#4119, 🚁
05 Feb 2017 21:11:51 : Cipher, cala, Calamariela#4119, its on its way
05 Feb 2017 21:11:57 : Cipher, cala, Wertfuzzy77#0274, lol wut
05 Feb 2017 21:12:02 : Cipher, cala, Calamariela#4119, help
05 Feb 2017 21:12:11 : Cipher, cala, Wertfuzzy77#0274, ;gif wut
05 Feb 2017 21:12:11 : Cipher, cala, Botfuzzy77#2209, http://giphy.com/gifs/thehollywoodreporter-the-hollywood-reporter-sundance-festival-26xBCBhu6NiOp2ZjO
05 Feb 2017 21:12:19 : Cipher, cala, Calamariela#4119, xD
