08 Feb 2017 04:28:37 : The Wild Weebs, general, Tally#2764, @凛 how did you make the graphs for 320
08 Feb 2017 04:28:38 : Cipher, music, Wertfuzzy77#0274, ;join
08 Feb 2017 04:28:38 : Cipher, music, Botfuzzy77#2209, Connected channel!
08 Feb 2017 04:28:42 : Cipher, music, Wertfuzzy77#0274, ;playlist Coldplay Dragons
08 Feb 2017 04:28:44 : The Wild Weebs, general, enragednuke#2565, i dont remember
08 Feb 2017 04:28:45 : The Wild Weebs, general, enragednuke#2565, ask nik
08 Feb 2017 04:28:48 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
08 Feb 2017 04:28:51 : LimitlessMc, botchat, Wertfuzzy77#0274, <your name>
08 Feb 2017 04:28:51 : LimitlessMc, botchat, Botfuzzy77#2209, There was an issue searching **your name**. It's likely that the title contains characters not supported by Discord/Python's basic text engine
08 Feb 2017 04:28:54 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
08 Feb 2017 04:28:56 : LimitlessMc, botchat, TherminatorX#6644, BUG your creator needs to add my twenty missing boss takedowns
08 Feb 2017 04:29:10 : Cipher, music, Wertfuzzy77#0274, ;shuffle
08 Feb 2017 04:29:10 : Cipher, music, Botfuzzy77#2209, Shuffling songs...
08 Feb 2017 04:29:11 : Cipher, cala, Calamariela#4119, soooo i gtg 😛
08 Feb 2017 04:29:12 : LimitlessMc, botchat, TherminatorX#6644, No?
08 Feb 2017 04:29:14 : Cipher, cala, Wertfuzzy77#0274, aw
08 Feb 2017 04:29:18 : LimitlessMc, botchat, TherminatorX#6644, Not the process?
08 Feb 2017 04:29:23 : Cipher, cala, Calamariela#4119, yeah i dont wanna but have to
08 Feb 2017 04:29:29 : LimitlessMc, botchat, TherminatorX#6644, @Botfuzzy77 BUG your creator needs to add my twenty missing boss takedowns
08 Feb 2017 04:29:30 : LimitlessMc, botchat, Botfuzzy77#2209, I disagree.
08 Feb 2017 04:29:35 : LimitlessMc, botchat, TherminatorX#6644, ...
08 Feb 2017 04:29:42 : LimitlessMc, botchat, TherminatorX#6644, ;kys
08 Feb 2017 04:29:42 : LimitlessMc, botchat, Botfuzzy77#2209, How about... no
08 Feb 2017 04:29:57 : Cipher, cala, Wertfuzzy77#0274, thats alright ❤ was fun talking, way better than last night xD
08 Feb 2017 04:30:04 : Cipher, cala, Calamariela#4119, xD yaaaa
08 Feb 2017 04:30:18 : Cipher, cala, Calamariela#4119, good night nikolai 😄
08 Feb 2017 04:30:26 : Cipher, cala, Wertfuzzy77#0274, ill still be up for a few hours 😉 incase you wanna talk
08 Feb 2017 04:30:28 : LimitlessMc, botchat, TherminatorX#6644, @Botfuzzy77 BUG sending bug reports isn't intuitive
08 Feb 2017 04:30:29 : Cipher, cala, Wertfuzzy77#0274, but otherwise
08 Feb 2017 04:30:29 : LimitlessMc, botchat, Botfuzzy77#2209, Your brother is a dictionary.
08 Feb 2017 04:30:30 : Cipher, cala, Calamariela#4119, xD
08 Feb 2017 04:30:31 : Cipher, cala, Wertfuzzy77#0274, gn Mari 😄
08 Feb 2017 04:30:41 : LimitlessMc, botchat, Wertfuzzy77#0274, that isnt actually a thing
08 Feb 2017 04:30:43 : LimitlessMc, botchat, Wertfuzzy77#0274, also LOL
08 Feb 2017 04:30:51 : Cipher, cala, Calamariela#4119, sleep well and sweat dreams 😛
08 Feb 2017 04:30:56 : Cipher, cala, Calamariela#4119, xd
08 Feb 2017 04:30:58 : Cipher, cala, Calamariela#4119, sweet
08 Feb 2017 04:31:01 : LimitlessMc, botchat, Wertfuzzy77#0274, that error message was part of my roommate's code I copied
08 Feb 2017 04:31:04 : Cipher, cala, Calamariela#4119, not sweat
08 Feb 2017 04:31:05 : Cipher, cala, Calamariela#4119, pls
08 Feb 2017 04:31:05 : Cipher, cala, Wertfuzzy77#0274, heh
08 Feb 2017 04:31:18 : Cipher, cala, Wertfuzzy77#0274, Dream a little dream of me ❤
08 Feb 2017 04:31:23 : Cipher, cala, Calamariela#4119, xD
08 Feb 2017 04:31:29 : Cipher, cala, Calamariela#4119, bia niko
08 Feb 2017 04:31:31 : Cipher, cala, Calamariela#4119, bai
08 Feb 2017 04:31:33 : LimitlessMc, botchat, Red_Dragon_333#4168, ;kys
08 Feb 2017 04:31:33 : LimitlessMc, botchat, Botfuzzy77#2209, How about... no
08 Feb 2017 04:31:33 : Cipher, cala, Wertfuzzy77#0274, bai ❤
08 Feb 2017 04:31:39 : LimitlessMc, botchat, Red_Dragon_333#4168, how about yes
08 Feb 2017 04:31:43 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 kys
08 Feb 2017 04:31:44 : LimitlessMc, botchat, Botfuzzy77#2209, I am your brother, so I have to know it.
08 Feb 2017 04:31:51 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 wut
08 Feb 2017 04:31:51 : LimitlessMc, botchat, Botfuzzy77#2209, We have the same creator.
08 Feb 2017 04:31:58 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 thats weird, i dont even know you
08 Feb 2017 04:31:59 : LimitlessMc, botchat, Botfuzzy77#2209, Yes you do!
08 Feb 2017 04:32:04 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 who are you?
08 Feb 2017 04:32:04 : LimitlessMc, botchat, Botfuzzy77#2209, Do you know what number I'm thinking of?
08 Feb 2017 04:32:07 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
08 Feb 2017 04:32:16 : LimitlessMc, botchat, Red_Dragon_333#4168, @Botfuzzy77  4
08 Feb 2017 04:32:16 : LimitlessMc, botchat, Botfuzzy77#2209, What is the question?
08 Feb 2017 04:32:21 : LimitlessMc, botchat, Red_Dragon_333#4168, rip
08 Feb 2017 04:32:26 : LimitlessMc, botchat, TherminatorX#6644, @Botfuzzy77 We are number one!
08 Feb 2017 04:32:26 : LimitlessMc, botchat, Botfuzzy77#2209, Hey!
08 Feb 2017 04:32:31 : LimitlessMc, botchat, TherminatorX#6644, YES
08 Feb 2017 04:32:42 : LimitlessMc, botchat, Red_Dragon_333#4168, @Botfuzzy77  can you die please
08 Feb 2017 04:32:43 : LimitlessMc, botchat, Botfuzzy77#2209, A being can't be one and not the other for ever.
08 Feb 2017 04:32:49 : LimitlessMc, botchat, Red_Dragon_333#4168, ok
08 Feb 2017 04:33:13 : LimitlessMc, botchat, Red_Dragon_333#4168, @Botfuzzy77  everything is mine
08 Feb 2017 04:33:14 : LimitlessMc, botchat, Botfuzzy77#2209, Everything is OURS.
08 Feb 2017 04:33:23 : LimitlessMc, botchat, Red_Dragon_333#4168, ugh
08 Feb 2017 04:33:38 : LimitlessMc, botchat, Red_Dragon_333#4168, ;youtube https://www.youtube.com/watch?v=PfYnvDL0Qcw
08 Feb 2017 04:33:38 : LimitlessMc, botchat, Botfuzzy77#2209, The Bot isnt connected in this server!
08 Feb 2017 04:33:42 : LimitlessMc, mainchat, Jay113355#4999, Nope
08 Feb 2017 04:33:47 : LimitlessMc, botchat, Red_Dragon_333#4168, rip
08 Feb 2017 04:34:05 : LimitlessMc, botchat, Red_Dragon_333#4168, ;connect to the server
