12 Feb 2017 19:52:33 : Rangers of insanity, bot, Wertfuzzy77#0274, Alright
12 Feb 2017 19:52:34 : Rangers of insanity, bot, Wertfuzzy77#0274, be back for real
12 Feb 2017 19:52:34 : Rangers of insanity, bot, Wertfuzzy77#0274, she
12 Feb 2017 19:52:39 : Rangers of insanity, bot, Wertfuzzy77#0274, feel free to use her 😛
12 Feb 2017 19:52:46 : Rangers of insanity, bot, Draxos#8653, ;join
12 Feb 2017 19:52:46 : Rangers of insanity, bot, Botfuzzy77#2209, Reconnected channel!
12 Feb 2017 19:52:46 : Rangers of insanity, bot, Botfuzzy77#2209, Reconnected channel!
12 Feb 2017 19:52:48 : LimitlessMc, botchat, Wertfuzzy77#0274, ;prestige
12 Feb 2017 19:52:49 : LimitlessMc, botchat, Botfuzzy77#2209, You arent a high enough level to Prestige! Level 50 is Required!
12 Feb 2017 19:52:49 : LimitlessMc, botchat, Botfuzzy77#2209, You can Prestige to Prestige 1!
12 Feb 2017 19:52:49 : LimitlessMc, botchat, Botfuzzy77#2209, Please do ;prestige confirm to prestige up!
12 Feb 2017 19:52:55 : Rangers of insanity, bot, Draxos#8653, ;playlist Stubby
12 Feb 2017 19:52:55 : Rangers of insanity, bot, Botfuzzy77#2209, Finished Adding songs from playlist(s)
12 Feb 2017 19:53:05 : Rangers of insanity, bot, Wertfuzzy77#0274, shhh
12 Feb 2017 19:53:08 : Rangers of insanity, bot, Wertfuzzy77#0274, i broke it
