15 Feb 2017 01:04:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
15 Feb 2017 01:04:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
15 Feb 2017 01:04:02 : LimitlessMc, botchat, Botfuzzy77#2209, Reconnected channel!
15 Feb 2017 01:04:02 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
15 Feb 2017 01:04:14 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio Classical
15 Feb 2017 01:04:14 : LimitlessMc, botchat, Botfuzzy77#2209, Radio Mode: True
15 Feb 2017 01:04:18 : LimitlessMc, botchat, MoonWolf#8885, ew no
15 Feb 2017 01:04:21 : LimitlessMc, botchat, Wertfuzzy77#0274, testing
15 Feb 2017 01:04:23 : LimitlessMc, botchat, MoonWolf#8885, Radio sucks.
15 Feb 2017 01:04:27 : LimitlessMc, botchat, Wertfuzzy77#0274, not anymore
15 Feb 2017 01:04:31 : LimitlessMc, botchat, Wertfuzzy77#0274, just made a whole new one
15 Feb 2017 01:04:42 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
15 Feb 2017 01:04:42 : LimitlessMc, botchat, Botfuzzy77#2209, Queue is Empty
15 Feb 2017 01:04:44 : LimitlessMc, botchat, Wertfuzzy77#0274, hmm
15 Feb 2017 01:04:45 : LimitlessMc, botchat, Wertfuzzy77#0274, ;leave
