03 Mar 2017 21:00:27 : The Wild Weebs, general, Wertfuzzy77#0274, can we split the file into parts and use threads
03 Mar 2017 21:00:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pokemon Celebi
03 Mar 2017 21:00:35 : LimitlessMc, botchat, Botfuzzy77#2209, ***Celebi***
03 Mar 2017 21:00:36 : LimitlessMc, botchat, Botfuzzy77#2209, 
03 Mar 2017 21:00:36 : LimitlessMc, botchat, Botfuzzy77#2209, **Pixelmon Page**: <http://pixelmonmod.com/wiki/index.php?title=celebi>
**Bulbapedia Page**: <http://bulbapedia.bulbagarden.net/wiki/celebi>
**Pokemon DB**: <http://pokemondb.net/pokedex/celebi>
**Smogon**: <http://www.smogon.com/dex/bw/pokemon/celebi>
03 Mar 2017 21:00:38 : LimitlessMc, botchat, Wertfuzzy77#0274, LOL
03 Mar 2017 21:00:39 : LimitlessMc, botchat, Wertfuzzy77#0274, well
03 Mar 2017 21:00:41 : LimitlessMc, botchat, Wertfuzzy77#0274, no
03 Mar 2017 21:00:54 : The Wild Weebs, general, enragednuke#2565, weird this ran 10000 lines per second or less on my laptop
03 Mar 2017 21:00:55 : The Wild Weebs, general, enragednuke#2565, but isnt now
03 Mar 2017 21:01:13 : The Wild Weebs, general, Tally#2764, Dude fuck this parser
03 Mar 2017 21:01:16 : Cipher, cala, Wertfuzzy77#0274, 
03 Mar 2017 21:01:25 : The Wild Weebs, general, Tally#2764, That was my thought nick
03 Mar 2017 21:01:27 : Cipher, cala, Wertfuzzy77#0274, it tried xD can't get away from Ho-oh apparently
