30 Mar 2017 20:48:34 : Cipher, cala, Calamariela#4119, lol you are already in...just dont turn into a virus
30 Mar 2017 20:48:34 : Cipher, cala, Wertfuzzy77#0274, xD
30 Mar 2017 20:48:34 : Cipher, cala, Wertfuzzy77#0274, 😈
30 Mar 2017 20:48:38 : Cipher, cala, Calamariela#4119, i have bitdefender!!! illl use it!
30 Mar 2017 20:48:45 : Cipher, cala, Wertfuzzy77#0274, psh, I'll find a way in
30 Mar 2017 20:48:46 : Unity Of Nirvana, bot_chat, Ayana#8911, ​:notes: Now playing: `[FNAF Remix] SharaX - Break My Mind` requested by `Lightshadow#5809`.
30 Mar 2017 20:48:52 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S right? I'm clever?
30 Mar 2017 20:48:57 : Cipher, cala, Wertfuzzy77#0274, ;-;
30 Mar 2017 20:48:58 : Cipher, cala, Calamariela#4119, LOL
30 Mar 2017 20:49:00 : Cipher, cala, Calamariela#4119, NOPE
30 Mar 2017 20:49:05 : Cipher, cala, Wertfuzzy77#0274, oooooo
30 Mar 2017 20:49:11 : Cipher, cala, Wertfuzzy77#0274, its 'say' not 'ask'
30 Mar 2017 20:49:14 : Cipher, cala, Wertfuzzy77#0274, woops xD
