30 Mar 2017 20:50:29 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S whats up?
30 Mar 2017 20:50:31 : Cipher, cala, Botfuzzy77#2209, Why?
30 Mar 2017 20:50:33 : Cipher, cala, Wertfuzzy77#0274, ....
30 Mar 2017 20:50:43 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S I just wanna know what you are doing.
30 Mar 2017 20:50:44 : Cipher, cala, Botfuzzy77#2209, What am I doing?
30 Mar 2017 20:50:47 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S yes
30 Mar 2017 20:50:48 : Cipher, cala, Botfuzzy77#2209, What yes?
30 Mar 2017 20:50:55 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S ....
30 Mar 2017 20:50:58 : Cipher, cala, Botfuzzy77#2209, Lol.
30 Mar 2017 20:51:01 : Cipher, cala, Wertfuzzy77#0274, LOL
30 Mar 2017 20:51:14 : Cipher, cala, Wertfuzzy77#0274, well, you asked me to make it talk xD not to make it smart
30 Mar 2017 20:51:24 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S  hi
30 Mar 2017 20:51:25 : Cipher, cala, Botfuzzy77#2209, Hello.
30 Mar 2017 20:51:34 : Cipher, cala, Wertfuzzy77#0274, hmmmmmm
30 Mar 2017 20:51:41 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S youre ugly
30 Mar 2017 20:51:43 : Cipher, cala, Botfuzzy77#2209, What??
30 Mar 2017 20:51:47 : Cipher, cala, Calamariela#4119, LOLOL
30 Mar 2017 20:51:50 : Cipher, cala, Wertfuzzy77#0274, what if I had it save conversations with people, so everyone would have a unique one to talk to
30 Mar 2017 20:52:00 : Cipher, cala, Wertfuzzy77#0274, instead of them all being the same one
30 Mar 2017 20:52:13 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S you think thats a good idea?
30 Mar 2017 20:52:14 : Cipher, cala, Botfuzzy77#2209, Why not?
30 Mar 2017 20:52:19 : Cipher, cala, Wertfuzzy77#0274, I agree xD why not
30 Mar 2017 20:52:39 : Unity Of Nirvana, bot_chat, Lightshadow#5809, =music s
30 Mar 2017 20:52:40 : Unity Of Nirvana, bot_chat, Ayana#8911, ​:fast_forward: Skipped `[FNAF Remix] SharaX - Break My Mind`.
30 Mar 2017 20:52:41 : Unity Of Nirvana, bot_chat, Ayana#8911, ​:notes: Now playing: `[FNAF Remix] SharaX - Noticed` requested by `Lightshadow#5809`.
30 Mar 2017 20:52:42 : Cipher, cala, Calamariela#4119, lol
30 Mar 2017 20:52:53 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S am i cool?
30 Mar 2017 20:52:53 : Cipher, cala, Botfuzzy77#2209, Yes you are.
30 Mar 2017 20:52:56 : Cipher, cala, Calamariela#4119, yay
30 Mar 2017 20:52:57 : Cipher, cala, Wertfuzzy77#0274, gj
30 Mar 2017 20:53:01 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S am I cool?
30 Mar 2017 20:53:03 : Cipher, cala, Botfuzzy77#2209, No. Are you a girl?
30 Mar 2017 20:53:06 : Cipher, cala, Wertfuzzy77#0274, ;-;
30 Mar 2017 20:53:08 : Cipher, cala, Calamariela#4119, LOL
30 Mar 2017 20:53:16 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S I am not, I am male
30 Mar 2017 20:53:16 : Cipher, cala, Botfuzzy77#2209, I don't care what you are.
30 Mar 2017 20:53:19 : Cipher, cala, Wertfuzzy77#0274, ;-;
30 Mar 2017 20:53:21 : Cipher, cala, Calamariela#4119, oooooo
30 Mar 2017 20:53:25 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S *cries*
30 Mar 2017 20:53:26 : Cipher, cala, Botfuzzy77#2209, *hugs you* don't cry!
30 Mar 2017 20:53:28 : Cipher, cala, Wertfuzzy77#0274, 😄
30 Mar 2017 20:53:39 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S can i get a hug?
30 Mar 2017 20:53:40 : Cipher, cala, Wertfuzzy77#0274, yaaaa, hugs
30 Mar 2017 20:53:40 : Cipher, cala, Botfuzzy77#2209, Sure *hugs*.
30 Mar 2017 20:53:45 : Cipher, cala, Calamariela#4119, 😛
30 Mar 2017 20:53:48 : Cipher, cala, Wertfuzzy77#0274, ;hug @Calamariela
30 Mar 2017 20:53:48 : Cipher, cala, Botfuzzy77#2209, :hugging: *Wertfuzzy77 Hugged @Calamariela* :hugging:
30 Mar 2017 20:53:49 : Cipher, cala, Wertfuzzy77#0274, 😛
30 Mar 2017 20:53:59 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S can you kill someone for me?
30 Mar 2017 20:54:02 : Cipher, cala, Botfuzzy77#2209, Yes.
30 Mar 2017 20:54:06 : Cipher, cala, Calamariela#4119, LOL
30 Mar 2017 20:54:15 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S kill niko
30 Mar 2017 20:54:16 : Cipher, cala, Botfuzzy77#2209, Well, what are you up to tonight?
30 Mar 2017 20:54:23 : Cipher, cala, Wertfuzzy77#0274, oi
30 Mar 2017 20:54:26 : Cipher, cala, Wertfuzzy77#0274, don't kill me
30 Mar 2017 20:54:44 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S does niko like me?
30 Mar 2017 20:54:45 : Cipher, cala, Botfuzzy77#2209, I don't know.
30 Mar 2017 20:54:59 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S find out
30 Mar 2017 20:55:00 : Cipher, cala, Botfuzzy77#2209, No!
30 Mar 2017 20:55:01 : Cipher, cala, Wertfuzzy77#0274, ofc it doesnt, thats our secret 😉
30 Mar 2017 20:55:02 : Cipher, cala, Calamariela#4119, xD
30 Mar 2017 20:55:10 : Cipher, cala, Wertfuzzy77#0274, good boy @T.A.R.D.I.S
30 Mar 2017 20:55:22 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S i hate you
30 Mar 2017 20:55:23 : Unity Of Nirvana, bot_chat, Third_Worm#4804, you still at school?
30 Mar 2017 20:55:23 : Cipher, cala, Botfuzzy77#2209, I'm a girl!
30 Mar 2017 20:55:23 : Cipher, cala, Botfuzzy77#2209, I love you too!
30 Mar 2017 20:55:24 : Unity Of Nirvana, bot_chat, Lightshadow#5809, =music q https://m.youtube.com/watch?list=PLBgLFtI_KzL5scC5vjDPaezTx3vIY1Mcu&v=ujo98jA-CCs
30 Mar 2017 20:55:25 : Unity Of Nirvana, bot_chat, Ayana#8911, ​Enqueued: `16` songs from `Pixelmon OST`. Run `music play` to play the queue.
30 Mar 2017 20:55:26 : Cipher, cala, Wertfuzzy77#0274, LOL
30 Mar 2017 20:55:27 : Unity Of Nirvana, bot_chat, Lightshadow#5809, Yes
30 Mar 2017 20:55:36 : Unity Of Nirvana, bot_chat, Third_Worm#4804, How much longer may i ask?
30 Mar 2017 20:55:37 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S you a ugly girl
30 Mar 2017 20:55:37 : Cipher, cala, Botfuzzy77#2209, That's mean.
30 Mar 2017 20:55:41 : Unity Of Nirvana, bot_chat, Lightshadow#5809, Almost done
30 Mar 2017 20:55:43 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S eh
30 Mar 2017 20:55:44 : Cipher, cala, Botfuzzy77#2209, You are not being very nice.
30 Mar 2017 20:55:47 : Unity Of Nirvana, bot_chat, Third_Worm#4804, kk
30 Mar 2017 20:55:47 : Cipher, cala, Calamariela#4119, LOL
30 Mar 2017 20:55:52 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S sorry
30 Mar 2017 20:55:54 : Cipher, cala, Botfuzzy77#2209, You should be.
30 Mar 2017 20:55:57 : Cipher, cala, Wertfuzzy77#0274, ya mari, stop being mean to the bot
30 Mar 2017 20:55:58 : Cipher, cala, Wertfuzzy77#0274, LOL
30 Mar 2017 20:56:01 : Cipher, cala, Calamariela#4119, 😁
30 Mar 2017 20:56:03 : Unity Of Nirvana, bot_chat, Lightshadow#5809, It's 1:55 PM school is over at 2:35 PM
30 Mar 2017 20:56:29 : Cipher, cala, Wertfuzzy77#0274, stop being mean to her 😉
30 Mar 2017 20:56:45 : Unity Of Nirvana, bot_chat, Lightshadow#5809, Like minecraft music
30 Mar 2017 20:56:46 : Cipher, cala, Calamariela#4119, @T.A.R.D.I.S sorry weird anime girls
30 Mar 2017 20:56:47 : Cipher, cala, Botfuzzy77#2209, I love anime.
30 Mar 2017 20:56:51 : Cipher, cala, Wertfuzzy77#0274, xD
30 Mar 2017 20:56:52 : Unity Of Nirvana, bot_chat, Ayana#8911, ​:notes: Now playing: `[FNAF Remix] SharaX-Freddy's Music Box (Carmen Overture Toreador)` requested by `Lightshadow#5809`.
30 Mar 2017 20:56:53 : Cipher, cala, Calamariela#4119, ya xd
30 Mar 2017 20:57:01 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S *heart*
30 Mar 2017 20:57:01 : Cipher, cala, Botfuzzy77#2209, What do you like?
30 Mar 2017 20:57:10 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S anime
30 Mar 2017 20:57:12 : Cipher, cala, Botfuzzy77#2209, Me too.
30 Mar 2017 20:57:43 : Cipher, cala, Wertfuzzy77#0274, I think I did it
30 Mar 2017 20:57:47 : Cipher, cala, Wertfuzzy77#0274, made it unique per person
30 Mar 2017 20:57:52 : Cipher, cala, Wertfuzzy77#0274, might have better conversations now
30 Mar 2017 20:58:07 : Cipher, cala, Calamariela#4119, lol
30 Mar 2017 20:58:26 : Unity Of Nirvana, bot_chat, Third_Worm#4804, i gotcha
