02 Apr 2017 00:19:01 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:19:02 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:19:04 : LimitlessMc, botchat, Wertfuzzy77#0274, ..............
02 Apr 2017 00:19:11 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground asdifunasofujfniuwenf9weufnsd
02 Apr 2017 00:19:13 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:19:14 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:19:16 : LimitlessMc, botchat, Wertfuzzy77#0274, 😄
02 Apr 2017 00:19:28 : LimitlessMc, botchat, Wertfuzzy77#0274, well, atleast the invalid background checker works
02 Apr 2017 00:20:18 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://images3.alphacoders.com/273/thumb-1920-273289.jpg
02 Apr 2017 00:20:18 : LimitlessMc, botchat, Crystal4209#4698, ;changeBackground http://theghic.com/wp-content/uploads/2015/12/assassination-classroom-1.jpg
02 Apr 2017 00:20:22 : LimitlessMc, botchat, Wertfuzzy77#0274, ;image
02 Apr 2017 00:20:24 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
02 Apr 2017 00:20:24 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.google.com/chromebook/static/images/devices-hero-us.jpg
02 Apr 2017 00:20:26 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:20:27 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:20:40 : LimitlessMc, botchat, Crystal4209#4698, ;level
02 Apr 2017 00:20:41 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:21:08 : LimitlessMc, botchat, Wertfuzzy77#0274, I'l work on changing the color schemes
02 Apr 2017 00:21:12 : LimitlessMc, botchat, Wertfuzzy77#0274, so its not blue lol
02 Apr 2017 00:21:17 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://more-sky.com/data/out/7/IMG_147607.png
02 Apr 2017 00:21:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:21:22 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:21:26 : LimitlessMc, botchat, Wertfuzzy77#0274, .................
02 Apr 2017 00:21:33 : LimitlessMc, botchat, Wertfuzzy77#0274, why does it kill the transparencyyyyyy
02 Apr 2017 00:21:57 : LimitlessMc, botchat, Crystal4209#4698, ;change backGround https://images.alphacoders.com/605/thumb-1920-605582.jpg
02 Apr 2017 00:22:04 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://wallpapercave.com/wp/Ia5HD7J.jpg
02 Apr 2017 00:22:07 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:22:08 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:22:09 : LimitlessMc, botchat, Crystal4209#4698, i did that wrong xD
02 Apr 2017 00:22:24 : LimitlessMc, botchat, Crystal4209#4698, ;changeBackground https://images.alphacoders.com/605/thumb-1920-605582.jpg
02 Apr 2017 00:22:33 : LimitlessMc, botchat, Crystal4209#4698, ;level
02 Apr 2017 00:22:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:22:52 : LimitlessMc, botchat, Wertfuzzy77#0274, I'm not sure whether I should crop the image or resize the image
02 Apr 2017 00:22:55 : LimitlessMc, botchat, Wertfuzzy77#0274, the one you give it that is
02 Apr 2017 00:22:59 : LimitlessMc, botchat, Wertfuzzy77#0274, rn, it just resizes it
02 Apr 2017 00:23:05 : LimitlessMc, botchat, Wertfuzzy77#0274, but it can distrort the image
02 Apr 2017 00:23:07 : LimitlessMc, botchat, Wertfuzzy77#0274, like that
02 Apr 2017 00:23:09 : LimitlessMc, botchat, Crystal4209#4698, hm
02 Apr 2017 00:23:19 : LimitlessMc, botchat, Crystal4209#4698, ;changeBackground https://images.discordapp.net/.eJwFwUEOhCAMAMC_cLeF0tLgZzZECZqoEGBPZv--M6_59sus5pizjRVxP8dW-w5j1p5KhlJruXJq54Ct3pjmTNtx52cOJFXPTiQoR7GWnSJFDaQxROYYyIsQknW6WF6s-zgPVoActKeY3x-NzSOy.YPoao-kSQ8LkgMRGSRuohCow8EM?width=400&height=207
02 Apr 2017 00:23:23 : LimitlessMc, botchat, Crystal4209#4698, ;level
02 Apr 2017 00:23:24 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:23:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://images.freecreatives.com/wp-content/uploads/2016/03/Amazing-Pokemon-Background-Wallpaper.jpg
02 Apr 2017 00:23:31 : LimitlessMc, botchat, Crystal4209#4698, eww no trans
02 Apr 2017 00:23:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:23:36 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:24:12 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://more-sky.com/data/out/7/IMG_147656.jpg
02 Apr 2017 00:24:18 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:24:19 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:24:25 : LimitlessMc, botchat, Wertfuzzy77#0274, lol, error
02 Apr 2017 00:24:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://more-sky.com/data/out/7/IMG_147656.jpg
02 Apr 2017 00:24:39 : LimitlessMc, botchat, Wertfuzzy77#0274, rip
02 Apr 2017 00:24:51 : LimitlessMc, botchat, Crystal4209#4698, lel
02 Apr 2017 00:25:18 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://www.imgbase.info/images/safe-wallpapers/anime/pokemon/30440_pokemon.jpg
02 Apr 2017 00:25:28 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:25:29 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:25:32 : LimitlessMc, botchat, Wertfuzzy77#0274, hmmmmmmmmmmmmmmm
02 Apr 2017 00:25:36 : LimitlessMc, botchat, Wertfuzzy77#0274, ;status
02 Apr 2017 00:25:36 : LimitlessMc, botchat, Botfuzzy77#2209, UpTime: 0:06:51.500000s
02 Apr 2017 00:25:36 : LimitlessMc, botchat, Botfuzzy77#2209, Total Messages: 45
02 Apr 2017 00:25:36 : LimitlessMc, botchat, Botfuzzy77#2209, Servers Joined: 13
02 Apr 2017 00:25:55 : LimitlessMc, botchat, Wertfuzzy77#0274, http://www.imgbase.info/images/safe-wallpapers/anime/pokemon/30440_pokemon.jpg
02 Apr 2017 00:26:01 : The Wild Weebs, general, Wertfuzzy77#0274, http://www.imgbase.info/images/safe-wallpapers/anime/pokemon/30440_pokemon.jpg
02 Apr 2017 00:26:09 : LimitlessMc, mainchat, darth kota#9446, @Jay113355
02 Apr 2017 00:26:29 : LimitlessMc, mainchat, Jay113355#4999, Yes?
02 Apr 2017 00:26:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://s-media-cache-ak0.pinimg.com/originals/88/a0/b1/88a0b15287dad5a81eb43dcf7e526f93.jpg
02 Apr 2017 00:26:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:26:38 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:26:45 : LimitlessMc, mainchat, darth kota#9446, still cant log on to the server
02 Apr 2017 00:27:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://wallpaperscraft.com/image/pokemon_background_blue_totodile_83629_2560x1600.jpg
02 Apr 2017 00:27:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:27:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:27:51 : LimitlessMc, mainchat, darth kota#9446, im Hansons btw @Jay113355
02 Apr 2017 00:27:57 : LimitlessMc, mainchat, Jay113355#4999, hansons
02 Apr 2017 00:28:00 : LimitlessMc, mainchat, Jay113355#4999, not Hansons
