02 Apr 2017 19:38:14 : LimitlessMc, voice-junk, Wertfuzzy77#0274, ;level
02 Apr 2017 19:38:16 : LimitlessMc, voice-junk, Botfuzzy77#2209, 
02 Apr 2017 19:38:18 : LimitlessMc, voice-junk, Botfuzzy77#2209, 
02 Apr 2017 19:38:33 : LimitlessMc, voice-junk, Wertfuzzy77#0274, hmm, kinda worked
02 Apr 2017 19:38:45 : LimitlessMc, botchat, Third_Worm#4804, @Botfuzzy77 What do you think of me?
02 Apr 2017 19:38:47 : LimitlessMc, botchat, Botfuzzy77#2209, I think so.
02 Apr 2017 19:38:47 : LimitlessMc, botchat, Botfuzzy77#2209, What?
02 Apr 2017 19:38:50 : LimitlessMc, botchat, Third_Worm#4804, ..
02 Apr 2017 19:38:51 : LimitlessMc, botchat, Third_Worm#4804, le
02 Apr 2017 19:39:32 : LimitlessMc, botchat, Third_Worm#4804, @Botfuzzy77 What do you think of me? be honest
02 Apr 2017 19:39:36 : LimitlessMc, botchat, Botfuzzy77#2209, You are interesting.
02 Apr 2017 19:39:36 : LimitlessMc, botchat, Botfuzzy77#2209, I think you're cute.
02 Apr 2017 19:39:40 : LimitlessMc, botchat, Third_Worm#4804, @Talha_choudhry ^
02 Apr 2017 19:39:43 : LimitlessMc, botchat, Third_Worm#4804, ^^^^^^^^^^^^^^^^^^^^^^^^^^
