11 Apr 2017 04:08:32 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gif evil laugh
11 Apr 2017 04:08:32 : LimitlessMc, botchat, Botfuzzy77#2209, http://giphy.com/gifs/laughing-joker-jack-nicholson-tMyCJmeXHBetq/giphy.gif
11 Apr 2017 04:08:32 : LimitlessMc, botchat, Botfuzzy77#2209, http://giphy.com/gifs/atlanticrecords-music-video-twenty-one-pilots-heathens-l41Ywn7RtxDOFIcj6/giphy.gif
11 Apr 2017 04:08:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
11 Apr 2017 04:08:41 : LimitlessMc, botchat, Botfuzzy77#2209, 257
11 Apr 2017 04:08:41 : LimitlessMc, botchat, Botfuzzy77#2209, 1071000
11 Apr 2017 04:08:45 : LimitlessMc, botchat, Wertfuzzy77#0274, ayy, it works
11 Apr 2017 04:08:51 : LimitlessMc, botchat, Crystal4209#4698, what
11 Apr 2017 04:08:58 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
11 Apr 2017 04:08:58 : LimitlessMc, botchat, Botfuzzy77#2209, 257
11 Apr 2017 04:08:58 : LimitlessMc, botchat, Botfuzzy77#2209, 1071000
11 Apr 2017 04:09:08 : LimitlessMc, botchat, Lightning#6734, u prestige crystal
11 Apr 2017 04:09:09 : LimitlessMc, botchat, Lightning#6734, nub
11 Apr 2017 04:09:12 : LimitlessMc, botchat, Wertfuzzy77#0274, no idea what that 257 is tho
11 Apr 2017 04:09:15 : LimitlessMc, botchat, Crystal4209#4698, need lvls
11 Apr 2017 04:09:23 : LimitlessMc, botchat, Lightning#6734, u lvl 50
11 Apr 2017 04:09:35 : LimitlessMc, botchat, Crystal4209#4698, i wanna  be 60 before i prestige
11 Apr 2017 04:09:39 : LimitlessMc, botchat, Lightning#6734, bleh
11 Apr 2017 04:09:46 : LimitlessMc, botchat, Crystal4209#4698, make it easier to lvl
11 Apr 2017 04:10:10 : Pulse, game-chat, JustinOPGamer#9138, ;train
11 Apr 2017 04:10:10 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:10:10 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:10:10 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:10:10 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:10:11 : LimitlessMc, botchat, Crystal4209#4698, meaning trains wont be worthless at lvl 5
