11 Apr 2017 04:13:43 : Pulse, game-chat, JustinOPGamer#9138, @Wertfuzzy77  sorry to bother u but whats the command for boss battle (to see what i battled last)
11 Apr 2017 04:13:51 : LimitlessMc, botchat, Wertfuzzy77#0274, LOL your code is sooooooooooooooo old @Light
11 Apr 2017 04:13:52 : LimitlessMc, botchat, Crystal4209#4698, i should get off and watch a movie :3
11 Apr 2017 04:13:56 : Pulse, game-chat, Lightning#6734, ;pbs
11 Apr 2017 04:13:57 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:13:58 : Pulse, game-chat, Wertfuzzy77#0274, ;pbs
11 Apr 2017 04:13:58 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:13:58 : LimitlessMc, botchat, Crystal4209#4698, very old light
11 Apr 2017 04:14:06 : Pulse, game-chat, JustinOPGamer#9138, thanks both of u
11 Apr 2017 04:14:06 : Pulse, game-chat, Wertfuzzy77#0274, or ;pokeboss
11 Apr 2017 04:14:09 : LimitlessMc, botchat, Crystal4209#4698, i remember when that happened
11 Apr 2017 04:14:13 : Pulse, game-chat, JustinOPGamer#9138, ;pbs
11 Apr 2017 04:14:13 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:14:19 : Pulse, game-chat, Lightning#6734, ;pbt sdddssss
11 Apr 2017 04:14:19 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:14:20 : Pulse, game-chat, Botfuzzy77#2209, 
11 Apr 2017 04:14:21 : LimitlessMc, botchat, Crystal4209#4698, @Light ya waifu is on
11 Apr 2017 04:14:31 : Pulse, game-chat, JustinOPGamer#9138, ;pbt BBBBB
