11 Apr 2017 19:53:45 : LimitlessMc, botchat, Wertfuzzy77#0274, @TherminatorX can you battle again?
11 Apr 2017 19:54:25 : LimitlessMc, botchat, TherminatorX#6644, ;pbt bbbbbbbbbbbbbbb
11 Apr 2017 19:54:25 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 19:54:25 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 19:54:28 : LimitlessMc, botchat, Wertfuzzy77#0274, 😄
11 Apr 2017 19:54:29 : LimitlessMc, botchat, Wertfuzzy77#0274, it worked
11 Apr 2017 19:54:31 : LimitlessMc, botchat, Wertfuzzy77#0274, yaa
11 Apr 2017 19:54:39 : LimitlessMc, botchat, TherminatorX#6644, Not on mobile
11 Apr 2017 19:54:47 : LimitlessMc, botchat, Wertfuzzy77#0274, well ya, mobile it weird
11 Apr 2017 19:54:50 : LimitlessMc, botchat, Wertfuzzy77#0274, idk whats wrong with it
11 Apr 2017 19:54:53 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
11 Apr 2017 19:54:53 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 19:55:39 : LimitlessMc, botchat, TherminatorX#6644, ;train go choo choo
11 Apr 2017 19:55:39 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 19:55:40 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 19:56:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
11 Apr 2017 19:56:02 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
