11 Apr 2017 20:59:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;prestige confirm
11 Apr 2017 20:59:41 : LimitlessMc, botchat, Botfuzzy77#2209, You arent a high enough level to Prestige! Level 50 is Required!
11 Apr 2017 20:59:41 : LimitlessMc, botchat, Botfuzzy77#2209, You are now Prestige 5
11 Apr 2017 20:59:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
11 Apr 2017 20:59:45 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 20:59:45 : LimitlessMc, botchat, Botfuzzy77#2209, 
11 Apr 2017 20:59:50 : Cipher, cala, Calamariela#4119, jager needs two teeth pulled....rip
11 Apr 2017 21:00:00 : Cipher, cala, Wertfuzzy77#0274, ow
11 Apr 2017 21:00:06 : Cipher, cala, Calamariela#4119, has a gum infection
11 Apr 2017 21:00:21 : Cipher, cala, Wertfuzzy77#0274, that doesnt sound fun
11 Apr 2017 21:00:28 : Cipher, cala, Calamariela#4119, yeah expensive too
11 Apr 2017 21:00:51 : Cipher, cala, Wertfuzzy77#0274, poor dog tho, prob hurts
11 Apr 2017 21:01:00 : Cipher, cala, Calamariela#4119, yeah
