12 Apr 2017 00:31:46 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
12 Apr 2017 00:31:46 : LimitlessMc, botchat, Botfuzzy77#2209, 
12 Apr 2017 00:32:14 : LimitlessMc, botchat, Wertfuzzy77#0274, @Crystal4209 @TherminatorX @jjtwilefc @Bakafish someone try prestiging
12 Apr 2017 00:32:19 : LimitlessMc, botchat, Wertfuzzy77#0274, I think I fixed it
12 Apr 2017 00:34:24 : LimitlessMc, botchat, Crystal4209#4698, ;prestige
12 Apr 2017 00:34:24 : LimitlessMc, botchat, Botfuzzy77#2209, You can Prestige to Prestige 4!
12 Apr 2017 00:34:24 : LimitlessMc, botchat, Botfuzzy77#2209, Please do ;prestige confirm to prestige up!
12 Apr 2017 00:34:34 : LimitlessMc, botchat, Crystal4209#4698, ;prestige confirm
12 Apr 2017 00:34:34 : LimitlessMc, botchat, Botfuzzy77#2209, You are now Prestige 4
12 Apr 2017 00:34:37 : LimitlessMc, botchat, Crystal4209#4698, there
12 Apr 2017 00:34:42 : LimitlessMc, botchat, Crystal4209#4698, @Wertfuzzy77
12 Apr 2017 00:34:53 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lookup Crystal4209
12 Apr 2017 00:34:55 : LimitlessMc, botchat, Botfuzzy77#2209, 
12 Apr 2017 00:34:59 : LimitlessMc, botchat, Wertfuzzy77#0274, 😄
12 Apr 2017 00:35:03 : LimitlessMc, botchat, Wertfuzzy77#0274, looks like it worked
12 Apr 2017 00:35:11 : LimitlessMc, botchat, Wertfuzzy77#0274, hmmm, should have lowered you more tho
12 Apr 2017 00:35:13 : LimitlessMc, botchat, Wertfuzzy77#0274, less than 12
12 Apr 2017 00:35:53 : LimitlessMc, botchat, Wertfuzzy77#0274, actually, if you had like 15k XP extra, it would be fine
12 Apr 2017 00:36:03 : LimitlessMc, botchat, Wertfuzzy77#0274, makes sense then
12 Apr 2017 00:36:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
12 Apr 2017 00:36:07 : LimitlessMc, botchat, Botfuzzy77#2209, 
12 Apr 2017 00:36:15 : LimitlessMc, botchat, Crystal4209#4698, oh
12 Apr 2017 00:36:17 : LimitlessMc, botchat, Crystal4209#4698, lvl 1
12 Apr 2017 00:36:18 : LimitlessMc, botchat, Wertfuzzy77#0274, hmmmmmmmmmmmmm
12 Apr 2017 00:36:19 : LimitlessMc, botchat, Crystal4209#4698, wee
12 Apr 2017 00:36:32 : LimitlessMc, botchat, Wertfuzzy77#0274, I don't think you should have passed them in score tho
12 Apr 2017 00:36:35 : LimitlessMc, botchat, Wertfuzzy77#0274, therm *
12 Apr 2017 00:37:00 : LimitlessMc, botchat, Crystal4209#4698, ;level
12 Apr 2017 00:37:02 : LimitlessMc, botchat, Botfuzzy77#2209, 
12 Apr 2017 00:37:09 : LimitlessMc, botchat, Crystal4209#4698, i can now retire xD
12 Apr 2017 00:37:10 : LimitlessMc, botchat, Crystal4209#4698, lel
12 Apr 2017 00:37:21 : LimitlessMc, botchat, Crystal4209#4698, ;pbs
12 Apr 2017 00:37:21 : LimitlessMc, botchat, Botfuzzy77#2209, Boss has not been Revealed!
Please use ;pokebattle <moves> easy to fight and reveal the boss.
12 Apr 2017 00:37:27 : LimitlessMc, botchat, Crystal4209#4698, ;pbt iiiii
12 Apr 2017 00:37:27 : LimitlessMc, botchat, Botfuzzy77#2209, 
12 Apr 2017 00:37:27 : LimitlessMc, botchat, Botfuzzy77#2209, 
12 Apr 2017 00:37:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
12 Apr 2017 00:37:33 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
