14 Apr 2017 01:34:25 : LimitlessMc, botchat, TherminatorX#6644, It will be ;killitwithfire
14 Apr 2017 01:34:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ^
14 Apr 2017 01:34:33 : LimitlessMc, botchat, Crystal4209#4698, xD
14 Apr 2017 01:34:33 : LimitlessMc, botchat, Botfuzzy77#2209, ^
14 Apr 2017 01:34:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
14 Apr 2017 01:34:38 : LimitlessMc, botchat, Botfuzzy77#2209, The Bot isnt connected in this server!
14 Apr 2017 01:34:39 : LimitlessMc, botchat, Crystal4209#4698, ;join
14 Apr 2017 01:34:40 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
14 Apr 2017 01:34:42 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
14 Apr 2017 01:34:46 : Pulse, game-chat, Third_Worm#4804, ;pbs
14 Apr 2017 01:34:46 : Pulse, game-chat, Botfuzzy77#2209, Boss has not been Revealed!
Please use ;pokebattle <moves> medium to fight and reveal the boss.
14 Apr 2017 01:34:46 : LimitlessMc, botchat, Wertfuzzy77#0274, um
14 Apr 2017 01:34:49 : Pulse, game-chat, Third_Worm#4804, fuck
14 Apr 2017 01:34:50 : LimitlessMc, botchat, Crystal4209#4698, bot
14 Apr 2017 01:34:55 : Pulse, game-chat, JustinOPGamer#9138, ;pbt FFWNSSSS
14 Apr 2017 01:34:55 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:34:55 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:34:55 : LimitlessMc, botchat, Lightning#6734, L
14 Apr 2017 01:34:58 : LimitlessMc, botchat, TherminatorX#6644, o
14 Apr 2017 01:35:04 : LimitlessMc, botchat, Crystal4209#4698, L
14 Apr 2017 01:35:06 : Pulse, game-chat, Third_Worm#4804, ;pb nnnnnnnn
14 Apr 2017 01:35:06 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:35:06 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:35:08 : LimitlessMc, botchat, Lightning#6734, nub
14 Apr 2017 01:35:11 : LimitlessMc, botchat, JustinOPGamer#9138, well there goes our boss
14 Apr 2017 01:35:18 : LimitlessMc, botchat, JustinOPGamer#9138, rip
14 Apr 2017 01:35:25 : Pulse, game-chat, Third_Worm#4804, ;pbs
14 Apr 2017 01:35:26 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:35:32 : LimitlessMc, botchat, Crystal4209#4698, ;Radio
14 Apr 2017 01:35:42 : LimitlessMc, botchat, Crystal4209#4698, ;Radio list
14 Apr 2017 01:35:46 : LimitlessMc, botchat, Crystal4209#4698, bruh
14 Apr 2017 01:35:47 : LimitlessMc, botchat, TherminatorX#6644, #BlameWert?
14 Apr 2017 01:35:53 : LimitlessMc, botchat, Lightning#6734, #BlameHiroku
14 Apr 2017 01:35:57 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
14 Apr 2017 01:35:57 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
