14 Apr 2017 01:36:15 : LimitlessMc, botchat, Lightning#6734, #BlameHiroku
14 Apr 2017 01:36:21 : Pulse, game-chat, JustinOPGamer#9138, ;pbt WWWWWWWW
14 Apr 2017 01:36:21 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:36:21 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:36:25 : LimitlessMc, botchat, Wertfuzzy77#0274, #BlameHTTPRequests
14 Apr 2017 01:36:26 : LimitlessMc, botchat, Crystal4209#4698, nah blaming wert is more fun
14 Apr 2017 01:36:26 : LimitlessMc, botchat, TherminatorX#6644, *I can be your Hiro, baby*
14 Apr 2017 01:36:29 : LimitlessMc, botchat, Crystal4209#4698, ;join
14 Apr 2017 01:36:29 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
14 Apr 2017 01:36:41 : LimitlessMc, botchat, Crystal4209#4698, ;Radio
14 Apr 2017 01:36:56 : Pulse, game-chat, Third_Worm#4804, ;pbs
14 Apr 2017 01:36:56 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:36:58 : LimitlessMc, botchat, Crystal4209#4698, bot wtf is wrong with you
14 Apr 2017 01:37:09 : Pulse, game-chat, Third_Worm#4804, ;pb nnnnnnnn
14 Apr 2017 01:37:09 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:09 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:11 : LimitlessMc, botchat, Crystal4209#4698, one simple cmd and it cant do it
14 Apr 2017 01:37:16 : LimitlessMc, botchat, TherminatorX#6644, Ask her doctor
14 Apr 2017 01:37:19 : Pulse, game-chat, JustinOPGamer#9138, ;train
14 Apr 2017 01:37:20 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:20 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:20 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:22 : LimitlessMc, botchat, Crystal4209#4698, wert
14 Apr 2017 01:37:24 : Pulse, game-chat, JustinOPGamer#9138, ;level
14 Apr 2017 01:37:24 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:25 : Pulse, game-chat, Third_Worm#4804, ;train
14 Apr 2017 01:37:25 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:25 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:27 : LimitlessMc, botchat, Crystal4209#4698, your her doctor
14 Apr 2017 01:37:35 : LimitlessMc, botchat, Crystal4209#4698, tell me what wrong
14 Apr 2017 01:37:36 : LimitlessMc, botchat, Crystal4209#4698, xD
14 Apr 2017 01:37:38 : Pulse, game-chat, Third_Worm#4804, ;level
14 Apr 2017 01:37:41 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:48 : LimitlessMc, botchat, Wertfuzzy77#0274, patched her up
14 Apr 2017 01:37:50 : Pulse, game-chat, Third_Worm#4804, ;gamble 20871
14 Apr 2017 01:37:50 : Pulse, game-chat, Botfuzzy77#2209, You have gained back your offering and more!
14 Apr 2017 01:37:50 : Pulse, game-chat, Botfuzzy77#2209, 
14 Apr 2017 01:37:51 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
14 Apr 2017 01:37:51 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
