21 Apr 2017 23:56:19 : LimitlessMc, botchat, Wertfuzzy77#0274, now try?
21 Apr 2017 23:56:20 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
21 Apr 2017 23:56:20 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
21 Apr 2017 23:56:22 : LimitlessMc, botchat, Wertfuzzy77#0274, ;yplaylist https://www.youtube.com/playlist?list=PLFwhUkU59Z5vFpB4mMNhj8vvu05b60VnK
21 Apr 2017 23:56:31 : LimitlessMc, botchat, Crystal4209#4698, damn it wert
21 Apr 2017 23:56:35 : LimitlessMc, botchat, Wertfuzzy77#0274, 😛
21 Apr 2017 23:56:36 : LimitlessMc, voice-junk, StarwinnerCraft#0288, ayy music is back
21 Apr 2017 23:56:36 : LimitlessMc, voice-junk, Lastshadow#5809, yay music!!!!!!!!
21 Apr 2017 23:56:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lookup Third_Worm
21 Apr 2017 23:56:50 : LimitlessMc, botchat, Crystal4209#4698, lemme put the opening in first ya nub
21 Apr 2017 23:56:54 : LimitlessMc, botchat, Wertfuzzy77#0274, oi, kys @Botfuzzy77
21 Apr 2017 23:56:55 : LimitlessMc, botchat, Botfuzzy77#2209, Kysser.
21 Apr 2017 23:57:00 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
21 Apr 2017 23:57:24 : LimitlessMc, botchat, Crystal4209#4698, ;train
21 Apr 2017 23:57:26 : LimitlessMc, botchat, Botfuzzy77#2209, 
21 Apr 2017 23:57:28 : LimitlessMc, botchat, Botfuzzy77#2209, 
21 Apr 2017 23:57:35 : LimitlessMc, botchat, Crystal4209#4698, wew
21 Apr 2017 23:57:51 : LimitlessMc, botchat, Crystal4209#4698, ;level
21 Apr 2017 23:57:54 : LimitlessMc, botchat, Botfuzzy77#2209, 
21 Apr 2017 23:57:58 : LimitlessMc, botchat, Wertfuzzy77#0274, only like 8% sorry
21 Apr 2017 23:58:00 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
21 Apr 2017 23:58:00 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
