23 Apr 2017 00:31:07 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
23 Apr 2017 00:31:07 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
23 Apr 2017 00:31:11 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, @Lighty i need horses/ponies for my chicken game
23 Apr 2017 00:31:16 : LimitlessMc, botchat, Wertfuzzy77#0274, ;yplaylist https://www.youtube.com/playlist?list=PLH7NDzTTIhpyloaIMMf1l6_YylnJ9RhQd
23 Apr 2017 00:31:27 : RooberBoobers, kinkyrubiestalk, D e p r e s s i o n#6475, wa n som
23 Apr 2017 00:31:28 : RooberBoobers, kinkyrubiestalk, D e p r e s s i o n#6475, ho
23 Apr 2017 00:31:30 : RooberBoobers, kinkyrubiestalk, D e p r e s s i o n#6475, es
23 Apr 2017 00:31:32 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, ye
23 Apr 2017 00:31:36 : LimitlessMc, botchat, Botfuzzy77#2209, Finished Adding songs from playlist
23 Apr 2017 00:31:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;shuffle
23 Apr 2017 00:31:39 : LimitlessMc, botchat, Botfuzzy77#2209, Shuffling songs...
23 Apr 2017 00:31:42 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
23 Apr 2017 00:32:10 : RooberBoobers, kinkyrubiestalk, D e p r e s s i o n#6475, o k
23 Apr 2017 00:32:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;shuffle
23 Apr 2017 00:32:21 : LimitlessMc, botchat, Botfuzzy77#2209, Shuffling songs...
23 Apr 2017 00:32:24 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, th a n k  d a d
23 Apr 2017 00:32:28 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
23 Apr 2017 00:32:30 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Apr 2017 00:32:37 : RooberBoobers, kinkyrubiestalk, D e p r e s s i o n#6475, o k
