23 Apr 2017 23:15:13 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
23 Apr 2017 23:15:14 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Apr 2017 23:15:17 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Apr 2017 23:15:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble
23 Apr 2017 23:15:21 : LimitlessMc, botchat, Botfuzzy77#2209, You need to gamble atleast 2,917 XP
23 Apr 2017 23:15:24 : LimitlessMc, botchat, Wertfuzzy77#0274, ;gamble 7000
23 Apr 2017 23:15:24 : LimitlessMc, botchat, Botfuzzy77#2209, You have gained back your offering and more!
23 Apr 2017 23:15:26 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Apr 2017 23:15:26 : LimitlessMc, botchat, Botfuzzy77#2209, You are exhausted from Gambling...
23 Apr 2017 23:15:31 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
23 Apr 2017 23:16:37 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
23 Apr 2017 23:17:07 : LimitlessMc, botchat, Wertfuzzy77#0274, :_reload
