24 Apr 2017 00:35:51 : LimitlessMc, botchat, Crystal4209#4698, ;pbt iiiiiiiiii
24 Apr 2017 00:35:54 : LimitlessMc, botchat, Botfuzzy77#2209, 
24 Apr 2017 00:35:56 : LimitlessMc, botchat, Botfuzzy77#2209, 
24 Apr 2017 00:36:16 : LimitlessMc, botchat, theOnlyJuan#9357, ;train
24 Apr 2017 00:36:18 : LimitlessMc, botchat, Botfuzzy77#2209, 
24 Apr 2017 00:36:20 : LimitlessMc, botchat, Botfuzzy77#2209, 
24 Apr 2017 00:36:41 : Pulse, music, Wertfuzzy77#0274, ;join
24 Apr 2017 00:36:43 : Pulse, music, Botfuzzy77#2209, Connected channel!
24 Apr 2017 00:57:12 : Pulse, music, Wertfuzzy77#0274, ;yplaylist https://www.youtube.com/playlist?list=PLCsOwPldZgDQeDUrzaCeZIcA7Wpi5UWgJ
24 Apr 2017 00:57:12 : Pulse, music, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=CllT2SIw83Q&t=5s
24 Apr 2017 00:57:12 : LimitlessMc, botchat, Crystal4209#4698, ;train
