25 Apr 2017 15:29:34 : LimitlessMc, botchat, Wertfuzzy77#0274, just slow
25 Apr 2017 15:29:36 : LimitlessMc, botchat, Wertfuzzy77#0274, weird
25 Apr 2017 15:29:37 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, music stopped
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, rip
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, and.... left
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, wut
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 what is wrong with you?
25 Apr 2017 15:31:00 : LimitlessMc, botchat, TherminatorX#6644, Since other bots properly embed emotes
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, on mobile?
25 Apr 2017 15:31:00 : LimitlessMc, botchat, TherminatorX#6644, Mhm
25 Apr 2017 15:31:00 : LimitlessMc, botchat, Wertfuzzy77#0274, maybe only the emotes on the server?
