25 Apr 2017 15:44:09 : LimitlessMc, botchat, Crystal4209#4698, Bork bork
25 Apr 2017 15:44:13 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pb SSSSSSSS
25 Apr 2017 15:44:18 : LimitlessMc, botchat, Crystal4209#4698, Pupper :3
25 Apr 2017 15:44:43 : LimitlessMc, botchat, Crystal4209#4698, @Wertfuzzy77 send puppers k thanks
25 Apr 2017 15:44:49 : LimitlessMc, botchat, Wertfuzzy77#0274, ;image pupper
25 Apr 2017 15:44:56 : LimitlessMc, botchat, TherminatorX#6644, You're rather proud of your avatar, aren't you?
25 Apr 2017 15:45:17 : LimitlessMc, botchat, Crystal4209#4698, Ofc I am
25 Apr 2017 15:45:26 : LimitlessMc, botchat, Wertfuzzy77#0274, my avatar > everyone's
25 Apr 2017 15:45:46 : LimitlessMc, botchat, TherminatorX#6644, Pft
25 Apr 2017 15:45:46 : LimitlessMc, botchat, Crystal4209#4698, Got a good shot of me and my pupper for once xD
25 Apr 2017 15:46:04 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
