25 Apr 2017 16:54:25 : LimitlessMc, mainchat, Lightning#6734, ya hear that wert @Wertfuzzy77 !
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, ;-;
25 Apr 2017 16:58:08 : LimitlessMc, voice-junk, Lastshadow#5809, .search the knife game song around the world
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Lightning#6734, is k i luv fuzzybot
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, but but
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, light bot isssss Botfuzzy
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, and mine is newer ;-;
25 Apr 2017 16:58:08 : LimitlessMc, voice-junk, Lastshadow#5809, Do command just not work on mobile :-;
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Lightning#6734, no no
25 Apr 2017 16:58:08 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, 
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Lightning#6734, she was fuzzy
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, the music part is same
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Lightning#6734, for the most part yes
25 Apr 2017 16:58:08 : LimitlessMc, voice-junk, Lastshadow#5809, @Light help lol
25 Apr 2017 16:58:08 : LimitlessMc, mainchat, Lightning#6734, BUT
25 Apr 2017 16:58:09 : LimitlessMc, mainchat, Wertfuzzy77#0274, well, was same, as my version like 2 months ago
