25 Apr 2017 17:08:23 : LimitlessMc, voice-junk, Lastshadow#5809, My mom wanted me to learn guitar
25 Apr 2017 17:08:34 : LimitlessMc, voice-junk, Lightning#6734, i NEED to get the code for requester only skip function
25 Apr 2017 17:08:57 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:09:03 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:09:03 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pb SSSSSSSS
25 Apr 2017 17:09:05 : LimitlessMc, voice-junk, Lastshadow#5809, .search fake it seether
25 Apr 2017 17:09:06 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 17:09:07 : LimitlessMc, voice-junk, LightBot#4090, Added Seether - Fake It to the queue
25 Apr 2017 17:09:07 : LimitlessMc, voice-junk, LightBot#4090, https://www.youtube.com/watch?v=gy8HPSIFXEM
25 Apr 2017 17:09:08 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 17:09:09 : RooberBoobers, kinkyrubiestalk, navy#8336, my gf is gay
25 Apr 2017 17:09:09 : LimitlessMc, botchat, Wertfuzzy77#0274, LOL
25 Apr 2017 17:09:10 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 17:09:13 : LimitlessMc, voice-junk, Lightning#6734, oh btw
25 Apr 2017 17:09:20 : LimitlessMc, voice-junk, Lightning#6734, don't try to add too many songs at once
25 Apr 2017 17:09:20 : LimitlessMc, voice-junk, Lastshadow#5809, Oh no music video
25 Apr 2017 17:09:31 : LimitlessMc, voice-junk, Lastshadow#5809, I only add 1 at a time
25 Apr 2017 17:09:40 : LimitlessMc, voice-junk, Lastshadow#5809, Because I did murder a bot once
25 Apr 2017 17:09:47 : LimitlessMc, voice-junk, Lastshadow#5809, Rip eris
25 Apr 2017 17:09:49 : LimitlessMc, voice-junk, Lightning#6734, let her have a max of 4 in queue untill i fix the settings
25 Apr 2017 17:10:05 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )
25 Apr 2017 17:10:15 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, my wif is gay also
25 Apr 2017 17:10:18 : LimitlessMc, voice-junk, Lastshadow#5809, What's ur user picture of
25 Apr 2017 17:10:23 : LimitlessMc, voice-junk, Lastshadow#5809, I recognize it
25 Apr 2017 17:10:30 : LimitlessMc, voice-junk, Lastshadow#5809, But I do not remember the name
25 Apr 2017 17:10:32 : LimitlessMc, voice-junk, Lightning#6734, Lightning from FFXIII and FFXIII-2
25 Apr 2017 17:10:44 : LimitlessMc, voice-junk, Lastshadow#5809, Final Fantasy right?
25 Apr 2017 17:10:47 : LimitlessMc, voice-junk, Lightning#6734, mhm
25 Apr 2017 17:10:55 : LimitlessMc, voice-junk, Lastshadow#5809, Lol, it wasn't final
25 Apr 2017 17:10:57 : LimitlessMc, voice-junk, Lastshadow#5809, Fuuuu
25 Apr 2017 17:11:02 : LimitlessMc, voice-junk, Lastshadow#5809, Wrong version
25 Apr 2017 17:11:03 : LimitlessMc, voice-junk, Lightning#6734, .image Lightning Farron
25 Apr 2017 17:11:05 : LimitlessMc, voice-junk, Lastshadow#5809, Skip
25 Apr 2017 17:11:10 : LimitlessMc, voice-junk, Lastshadow#5809, .skip
25 Apr 2017 17:11:10 : LimitlessMc, voice-junk, LightBot#4090, Skipping 【LUKA・MIKU・RIN】 Immoral Memory 〜The Lost Memory〜 【 PV VOCALOID】 by request of the requester
25 Apr 2017 17:11:14 : LimitlessMc, voice-junk, Lightning#6734, OH
25 Apr 2017 17:11:20 : LimitlessMc, voice-junk, Lightning#6734, totally forgot i killed image
25 Apr 2017 17:11:33 : LimitlessMc, voice-junk, Lightning#6734, XD
25 Apr 2017 17:11:37 : LimitlessMc, voice-junk, Lastshadow#5809, You disabled it when the dick picks were spammed
25 Apr 2017 17:11:44 : LimitlessMc, voice-junk, Lightning#6734, 
25 Apr 2017 17:11:50 : LimitlessMc, voice-junk, Lastshadow#5809, Nice
25 Apr 2017 17:11:59 : LimitlessMc, voice-junk, Lightning#6734, ^ wert edited that one to make it nicer
25 Apr 2017 17:12:01 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
25 Apr 2017 17:12:02 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
