25 Apr 2017 17:12:13 : LimitlessMc, voice-junk, Wertfuzzy77#0274, 😛
25 Apr 2017 17:12:15 : LimitlessMc, voice-junk, Wertfuzzy77#0274, I secretly an artist
25 Apr 2017 17:12:15 : LimitlessMc, voice-junk, Lastshadow#5809, Ugh light
25 Apr 2017 17:12:16 : LimitlessMc, voice-junk, Lightning#6734, toptier job too ;D
25 Apr 2017 17:12:22 : LimitlessMc, voice-junk, Lightning#6734, hm?
25 Apr 2017 17:12:31 : LimitlessMc, voice-junk, Lastshadow#5809, Imma find the link to the correct song
25 Apr 2017 17:12:58 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:12:59 : LimitlessMc, voice-junk, Lastshadow#5809, https://m.youtube.com/watch?v=G4Z5G78viGc
25 Apr 2017 17:13:02 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:13:03 : LimitlessMc, voice-junk, Lastshadow#5809, That 1
25 Apr 2017 17:13:08 : RooberBoobers, kinkyrubiestalk, navy#8336, my wif makes me blush in public
25 Apr 2017 17:13:09 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pb SSSSSSSS
25 Apr 2017 17:13:11 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:13:24 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:13:26 : LimitlessMc, voice-junk, Lightning#6734, .youtube https://www.youtube.com/watch?v=G4Z5G78viGc&app=desktop
25 Apr 2017 17:13:27 : LimitlessMc, voice-junk, LightBot#4090, Added [Len Kaito Gakupo] The Immoral Memory, The Lost Memory (english & romaji sub) [lyrics in descri...] to the queue
25 Apr 2017 17:13:34 : LimitlessMc, voice-junk, Lastshadow#5809, That's the correct song
25 Apr 2017 17:13:40 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, my wif makes me laugh in company
25 Apr 2017 17:13:41 : LimitlessMc, voice-junk, Lastshadow#5809, The one I skipped was terrible
25 Apr 2017 17:13:42 : LimitlessMc, voice-junk, Lightning#6734, damn girl u working fast today huh @LightBot
25 Apr 2017 17:13:56 : LimitlessMc, voice-junk, Lastshadow#5809, Killing my phone
25 Apr 2017 17:13:58 : LimitlessMc, voice-junk, Lightning#6734, oh wait dis nub can't reply XD
25 Apr 2017 17:14:00 : LimitlessMc, voice-junk, Lastshadow#5809, Oh well
25 Apr 2017 17:14:16 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:14:23 : LimitlessMc, voice-junk, Lastshadow#5809, It muted fuck in this song :-;
25 Apr 2017 17:14:26 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:14:29 : RooberBoobers, kinkyrubiestalk, navy#8336, its hard to copypaste on mac when i normally use windows
25 Apr 2017 17:14:29 : LimitlessMc, voice-junk, Lightning#6734, o-o
25 Apr 2017 17:14:30 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:14:34 : LimitlessMc, voice-junk, Lastshadow#5809, It was sooo much better with it
25 Apr 2017 17:14:35 : LimitlessMc, voice-junk, Lightning#6734, #rood
25 Apr 2017 17:14:37 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, oh ripp
25 Apr 2017 17:14:39 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:14:45 : LimitlessMc, voice-junk, Lastshadow#5809, :D
25 Apr 2017 17:14:46 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:14:49 : LimitlessMc, voice-junk, Lastshadow#5809, There it is
25 Apr 2017 17:14:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
