25 Apr 2017 17:26:37 : LimitlessMc, voice-junk, Wertfuzzy77#0274, ;pb SSSSSSSS
25 Apr 2017 17:26:39 : LimitlessMc, voice-junk, Botfuzzy77#2209, 
25 Apr 2017 17:26:42 : LimitlessMc, voice-junk, Botfuzzy77#2209, 
25 Apr 2017 17:26:45 : LimitlessMc, voice-junk, Wertfuzzy77#0274, 😄
25 Apr 2017 17:27:09 : LimitlessMc, mainchat, Lastshadow#5809, https://m.youtube.com/watch?v=ZstsPUKT5CI
25 Apr 2017 17:27:20 : LimitlessMc, mainchat, Lastshadow#5809, That was what I wanted to play
25 Apr 2017 17:27:23 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:27:27 : RooberBoobers, kinkyroleplay, navy#8336, oh
25 Apr 2017 17:27:34 : RooberBoobers, kinkyroleplay, navy#8336, 🍆
25 Apr 2017 17:27:35 : LimitlessMc, mainchat, Lastshadow#5809, I have a weird taste in music
25 Apr 2017 17:27:46 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:28:04 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:29:08 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:29:43 : RooberBoobers, kinkyrubiestalk, navy#8336, ᕕ( ᐛ )ᕗ
25 Apr 2017 17:31:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
