25 Apr 2017 18:34:09 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, navy check your fb messages XD
25 Apr 2017 18:34:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pb FFFFFFFF
25 Apr 2017 18:34:35 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, wait whats your fb name XD
25 Apr 2017 18:34:37 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 18:34:39 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 18:34:40 : RooberBoobers, kinkyrubiestalk, navy#8336, wha
25 Apr 2017 18:34:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
25 Apr 2017 18:34:43 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 18:34:45 : RooberBoobers, kinkyrubiestalk, navy#8336, sugar
25 Apr 2017 18:34:46 : LimitlessMc, botchat, Wertfuzzy77#0274, lol
25 Apr 2017 18:34:53 : LimitlessMc, botchat, Wertfuzzy77#0274, well then
25 Apr 2017 18:34:54 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, there
25 Apr 2017 18:35:15 : RooberBoobers, kinkyrubiestalk, navy#8336, im at school n i dont have headphones ri p
25 Apr 2017 18:36:00 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, 
25 Apr 2017 18:36:08 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, 
25 Apr 2017 18:36:10 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
25 Apr 2017 18:36:10 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
