25 Apr 2017 22:00:21 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, im anonymous n
25 Apr 2017 22:00:30 : LimitlessMc, botchat, Wertfuzzy77#0274, well, i'm not webscraping
25 Apr 2017 22:00:30 : LimitlessMc, botchat, TherminatorX#6644, I only had 90s left to wait ;-;
25 Apr 2017 22:00:31 : RooberBoobers, kinkyrubiestalk, navy#8336, same
25 Apr 2017 22:00:34 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, same
25 Apr 2017 22:00:35 : LimitlessMc, botchat, Wertfuzzy77#0274, I'm actually doing it right this time xD using an API
25 Apr 2017 22:00:35 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, XD
25 Apr 2017 22:00:39 : RooberBoobers, kinkyrubiestalk, DicloniusPony#6564, jkjk
25 Apr 2017 22:00:41 : LimitlessMc, botchat, TherminatorX#6644, ;train
25 Apr 2017 22:00:44 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:00:46 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
25 Apr 2017 22:00:53 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:00:53 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
25 Apr 2017 22:00:58 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=fAQBTU1vXS0
25 Apr 2017 22:00:59 : LimitlessMc, botchat, Botfuzzy77#2209, Added DEAMN - Drive My Car to the queue
25 Apr 2017 22:01:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
25 Apr 2017 22:01:05 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:01:10 : LimitlessMc, botchat, Wertfuzzy77#0274, well, its faster
25 Apr 2017 22:01:12 : LimitlessMc, botchat, Wertfuzzy77#0274, a little
25 Apr 2017 22:01:13 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
25 Apr 2017 22:01:15 : LimitlessMc, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:01:25 : LimitlessMc, botchat, TherminatorX#6644, And there's the thumb
25 Apr 2017 22:01:42 : Shadow's Subnautica, botchat, Lastshadow#5809, ;train
25 Apr 2017 22:01:43 : Shadow's Subnautica, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:01:43 : Shadow's Subnautica, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:01:54 : Shadow's Subnautica, botchat, Lastshadow#5809, ;level
25 Apr 2017 22:01:55 : Shadow's Subnautica, botchat, Botfuzzy77#2209, 
25 Apr 2017 22:02:04 : LimitlessMc, botchat, Wertfuzzy77#0274, ya, the problem was everytime someone wanted to do ;song it would have to recall the youtube API to get the info, cause the wrapper im using didnt save it
25 Apr 2017 22:02:10 : LimitlessMc, botchat, Wertfuzzy77#0274, so I saved it myself
25 Apr 2017 22:02:17 : LimitlessMc, botchat, Wertfuzzy77#0274, and now is faster 😄
25 Apr 2017 22:02:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;loop
