05 May 2017 18:09:27 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, **hcroms**
05 May 2017 18:09:35 : RooberBoobers, kinkyrubiestalk, navy#8336, what
05 May 2017 18:09:53 : RooberBoobers, kinkyrubiestalk, navy#8336, **oh smorches back**
05 May 2017 18:10:09 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, **my wif is wonderful i wanna smor ch**
05 May 2017 18:10:31 : RooberBoobers, kinkyrubiestalk, navy#8336, **sm o r c h**
05 May 2017 18:10:49 : RooberBoobers, kinkyrubiestalk, navy#8336, i wanna practice the sexual intercourse. for scientific purposes
05 May 2017 18:11:06 : LimitlessMc, botchat, AlphaBit has school till 26#3869, ;train
05 May 2017 18:11:10 : LimitlessMc, botchat, Botfuzzy77#2209, 
05 May 2017 18:11:15 : LimitlessMc, botchat, Botfuzzy77#2209, 
05 May 2017 18:11:21 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, because u h h we are attemption f u s io n
05 May 2017 18:12:19 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
05 May 2017 18:12:25 : LimitlessMc, botchat, Botfuzzy77#2209, 
05 May 2017 18:12:29 : LimitlessMc, botchat, Botfuzzy77#2209, 
05 May 2017 18:12:54 : RooberBoobers, kinkyrubiestalk, navy#8336, i wanna know if it Actually Feels Good™ because once i went to a friends house on my period and her pet dog started l ick i ng mm  mm m mm mm i was more confused than satisfied™
05 May 2017 18:13:06 : RooberBoobers, kinkyrubiestalk, navy#8336, the sweet taste of blood
05 May 2017 18:13:34 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, **what the fuCK-**
05 May 2017 18:13:53 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, **on your p e r i o d  noooo-**
05 May 2017 18:14:10 : RooberBoobers, kinkyrubiestalk, navy#8336, the dog smelled the blood and got hungery it was natural
05 May 2017 18:14:20 : RooberBoobers, kinkyrubiestalk, navy#8336, u h will you lick me daddy //
05 May 2017 18:19:26 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
