07 May 2017 01:33:21 : Shadow's Subnautica, shadowbotchat, Ayana#8911, ​:notes: Now playing: `Pokémon Movie08 BGM - Aaron 2` requested by `Lastshadow#5809`.
07 May 2017 01:33:22 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
07 May 2017 01:33:32 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
07 May 2017 01:33:33 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
07 May 2017 01:33:34 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
07 May 2017 01:33:37 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 01:33:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search Highway to hell
07 May 2017 01:33:53 : LimitlessMc, botchat, Botfuzzy77#2209, Added AC/DC - Highway to Hell to the queue
07 May 2017 01:33:54 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=qKggnBh2Mdw
07 May 2017 01:34:00 : LimitlessMc, botchat, Wertfuzzy77#0274, rip
07 May 2017 01:34:04 : LimitlessMc, botchat, Wertfuzzy77#0274, it didnt like it xD
07 May 2017 01:34:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
07 May 2017 01:34:43 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
