07 May 2017 02:52:22 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
07 May 2017 02:52:22 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
07 May 2017 02:52:24 : LimitlessMc, botchat, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=oerZ1cYE-Qk
07 May 2017 02:52:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
07 May 2017 02:53:13 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:53:53 : LimitlessMc, botchat, Wertfuzzy77#0274, wow
07 May 2017 02:53:58 : LimitlessMc, botchat, Wertfuzzy77#0274, that took a long time
07 May 2017 02:53:59 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
07 May 2017 02:54:01 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:54:07 : LimitlessMc, botchat, Wertfuzzy77#0274, atleast I had it save it xD
07 May 2017 02:54:14 : LimitlessMc, botchat, Wertfuzzy77#0274, so it doenst take forever all the time
07 May 2017 02:54:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
07 May 2017 02:54:31 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:54:58 : LimitlessMc, mainchat, AlphaBit has school till 26#3869, :>
07 May 2017 02:55:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;loop
07 May 2017 02:55:36 : LimitlessMc, botchat, Botfuzzy77#2209, Added '*Billy Joel - Live at Bonnaroo 2015 (Full Concert) (HD)*' **1** more times
07 May 2017 02:55:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;remove 1
07 May 2017 02:55:38 : LimitlessMc, botchat, Botfuzzy77#2209, Removed 0 that 1 requested
