09 May 2017 17:11:42 : LimitlessMc, mainchat, Chiran#2127, @darth kota  hmm good talk I ain't very good at English I mean I got an f on that calds
09 May 2017 17:15:39 : LimitlessMc, mainchat, darth kota#9446, I barely passed my highschool classes passed my last english class by getting a 97% on a big essay
09 May 2017 17:32:51 : LimitlessMc, mainchat, Lean#1524, I like turtles
09 May 2017 17:59:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, same, school is brutal rn
09 May 2017 17:59:21 : LimitlessMc, mainchat, Wertfuzzy77#0274, gimee a few days and ill be back on the serer xD
09 May 2017 18:37:21 : memes, general, Botfuzzy77#2209, Welcome @Max to memes!
09 May 2017 18:38:37 : memes, general, Max#4148, http://tbib.org/images/1418/2b3a626189e90be567b6dc3c94ad63e8200a4bc0.jpeg?1707206
09 May 2017 18:40:40 : memes, nsfw, Max#4148, http://tbib.org/images/1418/2b3a626189e90be567b6dc3c94ad63e8200a4bc0.jpeg?1707206
09 May 2017 18:48:42 : memes, general, Boss Baby#3629, Gov me the aucxx
09 May 2017 18:48:53 : memes, general, Boss Baby#3629, I'm a fidget spinnwe
09 May 2017 18:49:08 : memes, general, Boss Baby#3629, Send nudes
09 May 2017 18:49:14 : memes, general, Crown#7932, lit
09 May 2017 18:49:56 : LimitlessMc, mainchat, Chiran#2127, @Wertfuzzy77  same lol
09 May 2017 18:50:43 : memes, general, Boss Baby#3629, Send nude
09 May 2017 18:51:50 : memes, general, Crown#7932, ok
09 May 2017 18:57:13 : memes, general, Ya boi velcro#1129, Gay
09 May 2017 19:01:30 : LimitlessMc, botchat, TherminatorX#6644, ;train
09 May 2017 19:01:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 19:01:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 19:04:23 : memes, general, Crown#7932, gey
09 May 2017 19:06:13 : memes, general, Ya boi velcro#1129, I'm an Alabama Nigger and I want to be free hail to the NAACP. I don't fight I don't cuss I just wanna ride at the front of the bus.
09 May 2017 20:09:44 : LimitlessMc, botchat, ssj4blake#1490, ;seen
09 May 2017 20:19:17 : Shadow's Subnautica, botchat, Lastshadow#5809, ;join
09 May 2017 20:19:18 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Connected channel!
09 May 2017 20:19:30 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search nightcore fuck you male
09 May 2017 20:19:32 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Nightcore - Fuck You [Male Version] to the queue
09 May 2017 20:19:32 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=8zsHnKfbHJ4
09 May 2017 20:19:35 : Shadow's Subnautica, botchat, Lastshadow#5809, ;cycle
09 May 2017 20:19:35 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Cycle Mode: True
09 May 2017 20:19:51 : Shadow's Subnautica, botchat, Lastshadow#5809, ;leave
09 May 2017 21:10:56 : LimitlessMc, botchat, Crystal4209#4698, ;train
09 May 2017 21:10:58 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 21:11:00 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 21:16:25 : LimitlessMc, mainchat, Crystal4209#4698, I'm up way to early..
09 May 2017 21:37:55 : LimitlessMc, botchat, Crystal4209#4698, ;cd
09 May 2017 21:37:55 : LimitlessMc, botchat, Botfuzzy77#2209, **Battle**
You can battle right now!
**Train**
You need to wait 185 seconds
**Gamble**
You can Gamble right now!
09 May 2017 21:52:57 : LimitlessMc, mainchat, darth kota#9446, Lel crystal
09 May 2017 21:53:36 : LimitlessMc, mainchat, darth kota#9446, @Wertfuzzy77 did you want to see the finished program for the caps game?
09 May 2017 21:56:00 : LimitlessMc, botchat, theOnlyJuan#9357, ;train
09 May 2017 21:56:02 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 21:56:04 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 21:57:40 : LimitlessMc, mainchat, Crystal4209#4698, I woke up at 5 xD
09 May 2017 21:57:59 : LimitlessMc, botchat, Crystal4209#4698, ;train
09 May 2017 21:58:01 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 21:58:03 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 22:06:21 : LimitlessMc, botchat, TherminatorX#6644, ;train
09 May 2017 22:06:23 : LimitlessMc, botchat, Botfuzzy77#2209, 
