10 May 2017 16:22:02 : Shadow's Subnautica, botchat, Lastshadow#5809, UGH
10 May 2017 16:22:05 : Shadow's Subnautica, botchat, Lastshadow#5809, ;leave
10 May 2017 16:22:05 : Shadow's Subnautica, botchat, Botfuzzy77#2209, The Bot isnt connected in this server!
10 May 2017 16:22:10 : Shadow's Subnautica, botchat, Lastshadow#5809, ;join
10 May 2017 16:22:11 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Connected channel!
10 May 2017 16:22:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;status
10 May 2017 16:22:36 : LimitlessMc, botchat, Botfuzzy77#2209, ```UpTime: 0:00:57.700000s
Total Messages: 4
Servers Joined: 19
CPU usage: 0.0%
Memory usage: 32.8%
```
10 May 2017 16:22:41 : RooberBoobers, kinkyrubiestalk, ComradeBismuth#5997, What would any of you say to a rp session later tonight?
10 May 2017 16:22:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ;-; music died
10 May 2017 16:22:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;music
10 May 2017 16:22:44 : LimitlessMc, botchat, Botfuzzy77#2209, The Bot isnt connected in this server!
10 May 2017 16:22:48 : LimitlessMc, botchat, Wertfuzzy77#0274, wat
10 May 2017 16:22:52 : LimitlessMc, botchat, Wertfuzzy77#0274, lol, he restarted
10 May 2017 16:22:55 : LimitlessMc, botchat, Wertfuzzy77#0274, why tho
10 May 2017 16:22:56 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
10 May 2017 16:22:56 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
10 May 2017 16:22:58 : LimitlessMc, botchat, TherminatorX#6644, Did you kill off image?
10 May 2017 16:23:00 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon uxie Mesprit azelf theme
10 May 2017 16:23:04 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Omega Ruby/Alpha Sapphire - Battle! Uxie/Mesprit/Azelf Music (HQ) to the queue
10 May 2017 16:23:04 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=tK1PWoWdUXY
10 May 2017 16:23:04 : LimitlessMc, botchat, Wertfuzzy77#0274, don't think so
10 May 2017 16:23:06 : Shadow's Subnautica, botchat, Lastshadow#5809, ;cycle
10 May 2017 16:23:07 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Cycle Mode: True
10 May 2017 16:23:14 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=6BU-1ukQ3vo
10 May 2017 16:23:14 : LimitlessMc, botchat, Wertfuzzy77#0274, ;recommend
10 May 2017 16:23:14 : LimitlessMc, botchat, Botfuzzy77#2209, Recommend Songs to play: True
10 May 2017 16:23:15 : LimitlessMc, botchat, Botfuzzy77#2209, Added Coldplay - Fix You (UNSTAGED) to the queue
10 May 2017 16:23:19 : LimitlessMc, botchat, TherminatorX#6644, ;image wat
