20 May 2017 02:22:47 : Ultralight Memes, bot_commands, Guy#9635, ;join
20 May 2017 02:22:48 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Connected channel!
20 May 2017 02:22:53 : Ultralight Memes, bot_commands, Guy#9635, ;songs
20 May 2017 02:22:53 : Ultralight Memes, bot_commands, Botfuzzy77#2209, 
20 May 2017 02:30:08 : Ultralight Memes, bot_commands, Guy#9635, ;search played us like a damn fiddle
20 May 2017 02:30:10 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added They Played Us Like A Damn Fiddle [Extended] (F1NG3RS MGSV Bitch Remix) to the queue
20 May 2017 02:30:10 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=cYrh5h9acg8
20 May 2017 02:32:54 : LimitlessMc, mainchat, Lastshadow#5809, I like the new pixelmon trailer berry much
20 May 2017 02:32:58 : LimitlessMc, mainchat, Lastshadow#5809, :D
20 May 2017 02:35:33 : LimitlessMc, voice-junk, Third_Worm#4804, gotta go to bed
20 May 2017 02:35:44 : LimitlessMc, voice-junk, Third_Worm#4804, so gn folks, have a good night and day.
20 May 2017 02:36:23 : LimitlessMc, mainchat, Crystal4209#4698, wew when i join all three staff members get off, i feel so welcome xD
20 May 2017 02:36:32 : Ultralight Memes, bot_commands, Guy#9635, ;search dreamscape
20 May 2017 02:36:33 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added Trance - 009 Sound System Dreamscape (HD) to the queue
20 May 2017 02:36:34 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=TKfS5zVfGBc
20 May 2017 02:36:54 : Ultralight Memes, bot_commands, fusion10sg#4310, ;quit
20 May 2017 02:36:59 : Ultralight Memes, bot_commands, fusion10sg#4310, ;skip
20 May 2017 02:37:00 : Ultralight Memes, bot_commands, Botfuzzy77#2209, 1/2 votes to skip
20 May 2017 02:37:13 : LimitlessMc, mainchat, darth kota#9446, lel
20 May 2017 02:37:36 : Ultralight Memes, bot_commands, [808 Mafia] CMontana#6921, ;skip
20 May 2017 02:37:36 : Ultralight Memes, bot_commands, Botfuzzy77#2209, 2/2 votes to skip
20 May 2017 02:37:36 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Skipping Trance - 009 Sound System Dreamscape (HD) by popular vote.
20 May 2017 02:37:41 : Ultralight Memes, bot_commands, [808 Mafia] CMontana#6921, oh thank gawd
20 May 2017 02:37:57 : LimitlessMc, mainchat, darth kota#9446, Testing
20 May 2017 02:37:57 : Ultralight Memes, bot_commands, [808 Mafia] CMontana#6921, ;search white is right
20 May 2017 02:37:59 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added PINK GUY - WHITE IS RIGHT (Reupload) to the queue
20 May 2017 02:37:59 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=8yoZuLQizoM
20 May 2017 02:39:29 : Ultralight Memes, bot_commands, Guy#9635, ;search donald trump anthem
20 May 2017 02:39:31 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added OFFICIAL DONALD TRUMP ANTHEM to the queue
20 May 2017 02:39:31 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=6w3EbmeD9UY
20 May 2017 02:42:45 : Ultralight Memes, bot_commands, Guy#9635, ;search tunak tunak tun
20 May 2017 02:42:48 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added Tunak Tunak Tun sped up every time they say Tunak to the queue
20 May 2017 02:42:48 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=38nfPs-jkgw
20 May 2017 02:44:51 : Ultralight Memes, bot_commands, Guy#9635, ;skip
20 May 2017 02:44:51 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Skipping Tunak Tunak Tun sped up every time they say Tunak by request of the requester
20 May 2017 02:45:04 : Ultralight Memes, bot_commands, Guy#9635, ;youtube https://www.youtube.com/watch?v=NOtoQAiwaK8
20 May 2017 02:45:05 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added Daler Mehndi - Tunak Tunak Tun | Turban Trap Mix to the queue
