02 Jun 2017 13:21:13 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ok is back up
02 Jun 2017 13:21:13 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;join
02 Jun 2017 13:21:13 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Connected channel!
02 Jun 2017 13:21:33 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;youtube  https://www.youtube.com/watch?v=1XwU8H6e8Ts
02 Jun 2017 13:21:35 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Added alt-J - Adeline (Official Audio) to the queue
02 Jun 2017 13:22:08 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;cd
02 Jun 2017 13:22:08 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, **Battle**
You can battle right now!
**Train**
You can Train right now!
**Gamble**
You can Gamble right now!
02 Jun 2017 13:22:12 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;train
02 Jun 2017 13:22:12 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, 
02 Jun 2017 13:22:12 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, 
02 Jun 2017 13:22:12 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, 
02 Jun 2017 13:22:15 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, awe yeah
02 Jun 2017 13:22:21 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;ranking
02 Jun 2017 13:22:21 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, 
02 Jun 2017 13:29:01 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;search nancy sinatra boots 1960
02 Jun 2017 13:29:05 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Added Nancy Sinatra - These Boots Are Made for Walkin' to the queue
02 Jun 2017 13:29:05 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=SbyAZQ45uww
02 Jun 2017 13:29:18 : SeasideEatery XIV, bot_commands, Dad#0471, oh boy
02 Jun 2017 13:29:20 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, 😄
02 Jun 2017 13:29:24 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, good song
02 Jun 2017 13:33:24 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;search lennard skinard freebird original
02 Jun 2017 13:33:25 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Added Lynyrd Skynyrd-Free bird to the queue
02 Jun 2017 13:33:26 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=np0solnL1XY
02 Jun 2017 13:35:36 : SeasideEatery XIV, bot_commands, Dad#0471, ;stop
02 Jun 2017 13:35:40 : SeasideEatery XIV, bot_commands, Dad#0471, damn lol
02 Jun 2017 13:37:36 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, use clear or skip
02 Jun 2017 13:37:54 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, ;skip
02 Jun 2017 13:37:54 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Skipping Lynyrd Skynyrd-Free bird by request of the requester
02 Jun 2017 13:38:26 : SeasideEatery XIV, bot_commands, Dad#0471, ok. next song lol
02 Jun 2017 13:38:38 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, sure add what ever you want
02 Jun 2017 13:38:53 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, also if your ever bored you can talk to the bot
02 Jun 2017 13:39:04 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, @Waiter you wan sum fuk
02 Jun 2017 13:39:10 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, I feel good.
02 Jun 2017 13:39:15 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, oh dear
02 Jun 2017 13:39:28 : SeasideEatery XIV, bot_commands, Dad#0471, ;search https://www.youtube.com/watch?v=IIA1XQnAv5s
02 Jun 2017 13:39:29 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Added Glass Animals - Gooey to the queue
02 Jun 2017 13:39:29 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=IIA1XQnAv5s
02 Jun 2017 13:40:06 : LimitlessMc, mainchat, BoltXavier#4435, What?
02 Jun 2017 13:40:08 : LimitlessMc, mainchat, BoltXavier#4435, Oh
02 Jun 2017 13:54:59 : SeasideEatery XIV, bot_commands, Dad#0471, finally done
02 Jun 2017 13:58:55 : SeasideEatery XIV, bot_commands, StubbyMuffins#1053, que up some songs 😄
02 Jun 2017 13:59:07 : SeasideEatery XIV, bot_commands, Dad#0471, like the ones i already palyed?
02 Jun 2017 13:59:24 : SeasideEatery XIV, bot_commands, Dad#0471, ;search https://www.youtube.com/watch?v=ZwBkXgWNs_M
02 Jun 2017 13:59:26 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Added alt-J - 3WW (Official Video) to the queue
02 Jun 2017 13:59:26 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=ZwBkXgWNs_M
02 Jun 2017 13:59:29 : SeasideEatery XIV, bot_commands, Dad#0471, wair
02 Jun 2017 13:59:37 : SeasideEatery XIV, bot_commands, Dad#0471, ;skip
02 Jun 2017 13:59:37 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Skipping alt-J - 3WW (Official Video) by request of the requester
02 Jun 2017 14:00:05 : SeasideEatery XIV, bot_commands, Dad#0471, ;search https://www.youtube.com/watch?v=AIfWU4KgRd8
02 Jun 2017 14:00:07 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, Added Harry Styles - Sign of the Times to the queue
02 Jun 2017 14:00:07 : SeasideEatery XIV, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=qN4ooNx77u0
