02 Jun 2017 19:21:56 : Ultralight Memes, bot_commands, Guy#9635, ;search alm map 1
02 Jun 2017 19:21:56 : Ultralight Memes, bot_commands, Botfuzzy77#2209, The Bot isnt connected in this server!
02 Jun 2017 19:22:04 : Ultralight Memes, bot_commands, Guy#9635, ;join
02 Jun 2017 19:22:05 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Connected channel!
02 Jun 2017 19:22:16 : Ultralight Memes, bot_commands, Guy#9635, ;search alm map 1
02 Jun 2017 19:22:18 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added [Music] Fire Emblem Echoes: Shadows of Valentia ► March to Deliverance ║Extended║ to the queue
02 Jun 2017 19:22:18 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=tmk3TM2jbe8
02 Jun 2017 19:22:58 : Ultralight Memes, bot_commands, Guy#9635, ;songs
02 Jun 2017 19:22:58 : Ultralight Memes, bot_commands, Botfuzzy77#2209, 
02 Jun 2017 19:23:07 : Ultralight Memes, bot_commands, Guy#9635, ;search alm map 1 gaiden
02 Jun 2017 19:23:09 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added Alm Map 1 - Fire Emblem Gaiden to the queue
02 Jun 2017 19:23:09 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=F7vPM8v-qng
02 Jun 2017 19:23:31 : Ultralight Memes, bot_commands, Guy#9635, ;leave
02 Jun 2017 19:23:40 : Ultralight Memes, bot_commands, Guy#9635, ;search bing bong
02 Jun 2017 19:23:42 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Added BING BONG (OFFICIAL VIDEO) - Closer by The Chainsmokers & Halsey PARODY to the queue
02 Jun 2017 19:23:42 : Ultralight Memes, bot_commands, Botfuzzy77#2209, https://www.youtube.com/watch?v=GuYEJnqNS2M
02 Jun 2017 19:23:46 : Ultralight Memes, bot_commands, Guy#9635, ;skip
02 Jun 2017 19:23:46 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Skipping [Music] Fire Emblem Echoes: Shadows of Valentia ► March to Deliverance ║Extended║ by request of the requester
02 Jun 2017 19:23:53 : Ultralight Memes, bot_commands, Guy#9635, ;skip
02 Jun 2017 19:23:53 : Ultralight Memes, bot_commands, Guy#9635, ;skip
02 Jun 2017 19:23:53 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Skipping Alm Map 1 - Fire Emblem Gaiden by request of the requester
02 Jun 2017 19:23:53 : Ultralight Memes, bot_commands, Botfuzzy77#2209, Skipping Alm Map 1 - Fire Emblem Gaiden by request of the requester
02 Jun 2017 19:24:16 : Ultralight Memes, bot_commands, Guy#9635, ;skip
02 Jun 2017 19:24:16 : Ultralight Memes, bot_commands, Guy#9635, ;clear
