30 Jun 2017 13:26:52 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:26:52 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, The Bot isnt connected in this server!
30 Jun 2017 13:27:10 : The Silvermoon Hounds, bot-text-channel, Josiah (Thor123xyz) SLO#9867, ;search fuck me in the ass cause i love jesus
30 Jun 2017 13:27:10 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, The Bot isnt connected in this server!
30 Jun 2017 13:27:27 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;join
30 Jun 2017 13:27:28 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Connected channel!
30 Jun 2017 13:27:33 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:27:35 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:27:35 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:27:50 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;leave
30 Jun 2017 13:27:51 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;join
30 Jun 2017 13:27:52 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Connected channel!
30 Jun 2017 13:27:53 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:27:55 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:27:55 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:28:23 : The Silvermoon Hounds, bot-text-channel, Josiah (Thor123xyz) SLO#9867, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:28:25 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:28:25 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:28:27 : The Silvermoon Hounds, bot-text-channel, Josiah (Thor123xyz) SLO#9867, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:28:29 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:28:29 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:28:31 : The Silvermoon Hounds, bot-text-channel, Josiah (Thor123xyz) SLO#9867, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:28:32 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:28:33 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:28:33 : The Silvermoon Hounds, bot-text-channel, Josiah (Thor123xyz) SLO#9867, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:28:35 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:28:35 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:28:36 : The Silvermoon Hounds, bot-text-channel, Josiah (Thor123xyz) SLO#9867, ;search fuck me in the ass cause i lvoe jesus
30 Jun 2017 13:28:38 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Fuck me in the ass cause i love Jesus   YouTube to the queue
30 Jun 2017 13:28:38 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=bv1gnug6HJ0
30 Jun 2017 13:35:08 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;search I'm a hoe frozen pardoy
30 Jun 2017 13:35:09 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, Added Let it Go - I'm a Hoe Frozen Parody to the queue
30 Jun 2017 13:35:09 : The Silvermoon Hounds, bot-text-channel, Botfuzzy77#2209, https://www.youtube.com/watch?v=pYBfR7Ssl6g
30 Jun 2017 13:36:20 : The Silvermoon Hounds, bot-text-channel, AzraelTheGreat#9534, ;skip
