15 Jul 2017 17:20:51 : Personal Server, general, Wertfuzzy77#0274, ;join
15 Jul 2017 17:20:52 : Personal Server, general, Botfuzzy77#2209, Connected channel!
15 Jul 2017 17:21:15 : Personal Server, general, Lastshadow#5809, ;search subnautica all creature sounds
15 Jul 2017 17:21:17 : Personal Server, general, Botfuzzy77#2209, Added Creatures of Subnautica [as of Update 8] to the queue
15 Jul 2017 17:21:17 : Personal Server, general, Botfuzzy77#2209, https://www.youtube.com/watch?v=UksxcTQaBEE
15 Jul 2017 17:21:30 : Personal Server, general, Lastshadow#5809, Welp
15 Jul 2017 17:21:39 : Personal Server, general, Wertfuzzy77#0274, wat
15 Jul 2017 17:21:40 : Personal Server, general, Wertfuzzy77#0274, ;music
15 Jul 2017 17:21:40 : Personal Server, general, Botfuzzy77#2209, 
15 Jul 2017 17:21:41 : Personal Server, general, Wertfuzzy77#0274, whatever
15 Jul 2017 17:21:43 : Personal Server, general, Wertfuzzy77#0274, ;recommend
15 Jul 2017 17:21:43 : Personal Server, general, Botfuzzy77#2209, Recommend Songs to play: True
15 Jul 2017 17:21:45 : Personal Server, general, Wertfuzzy77#0274, ;music
15 Jul 2017 17:21:45 : Personal Server, general, Botfuzzy77#2209, 
15 Jul 2017 17:21:47 : Personal Server, general, Wertfuzzy77#0274, ;songs
15 Jul 2017 17:21:47 : Personal Server, general, Botfuzzy77#2209, 
15 Jul 2017 17:22:15 : Personal Server, general, Wertfuzzy77#0274, hmmm, the changes didnt go to the cloud
15 Jul 2017 17:22:20 : Personal Server, general, Wertfuzzy77#0274, ;relog
15 Jul 2017 17:22:20 : Personal Server, general, Botfuzzy77#2209, Relogging...
