15 Jul 2017 17:24:16 : LimitlessMc, mainchat, AlphaBit#3869, [not k-on]
15 Jul 2017 17:25:22 : LimitlessMc, mainchat, Wertfuzzy77#0274, wait ya lol, thats not k-on
15 Jul 2017 17:25:30 : LimitlessMc, mainchat, Wertfuzzy77#0274, thats Kokoro right?
15 Jul 2017 17:25:48 : Personal Server, general, Wertfuzzy77#0274, ;join
15 Jul 2017 17:25:49 : Personal Server, general, Botfuzzy77#2209, Connected channel!
15 Jul 2017 17:25:54 : Personal Server, general, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=6CGBoEYv42g
15 Jul 2017 17:25:55 : Personal Server, general, Botfuzzy77#2209, Added The Fray - How To Save A Life (Husko Remix) to the queue
15 Jul 2017 17:25:57 : Personal Server, general, Wertfuzzy77#0274, ;music
15 Jul 2017 17:25:57 : Personal Server, general, Botfuzzy77#2209, 
15 Jul 2017 17:26:10 : Personal Server, general, Wertfuzzy77#0274, ;leave
15 Jul 2017 17:26:11 : Personal Server, general, Wertfuzzy77#0274, ;join
15 Jul 2017 17:26:12 : Personal Server, general, Botfuzzy77#2209, Connected channel!
15 Jul 2017 17:26:19 : Personal Server, general, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=6CGBoEYv42g
15 Jul 2017 17:26:20 : Personal Server, general, Botfuzzy77#2209, Added The Fray - How To Save A Life (Husko Remix) to the queue
15 Jul 2017 17:26:23 : LimitlessMc, mainchat, ruleroftri#6648, I was 70% tempted to come in here with a profile pic of DIO and start throwing down some road rollers
15 Jul 2017 17:26:37 : LimitlessMc, mainchat, AlphaBit#3869, ye
15 Jul 2017 17:26:40 : Personal Server, general, Wertfuzzy77#0274, ;relog
