22 Jul 2017 02:36:44 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 02:36:45 : LimitlessMc, botchat, Botfuzzy77#2209, You don't have enough XP (need 6859)
22 Jul 2017 02:36:48 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lv
22 Jul 2017 02:36:53 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 02:36:54 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 02:36:59 : LimitlessMc, botchat, Wertfuzzy77#0274, hmmmmmmmmmmmmmmmmm
22 Jul 2017 02:37:05 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
22 Jul 2017 02:37:07 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 02:37:07 : LimitlessMc, botchat, Fiodor#5640, weird
22 Jul 2017 02:37:09 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 02:37:17 : LimitlessMc, botchat, Wertfuzzy77#0274, well, I have 2 bots running rn xD
22 Jul 2017 02:37:32 : LimitlessMc, botchat, Fiodor#5640, lol
